linked,stock_link_ratio,subsector,name,min_lifetime,max_lifetime,source,additional_description,demand_tech_unit_type,unit,time_unit,cost_of_capital,stock_decay_function,mean_lifetime,lifetime_variance,shape,max_lead_hours,max_lag_hours
,,residential space heating,Reference Distillate Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,Reference Distillate Boiler/Radiator,20.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,25.0,,,,
,,residential space heating,Reference Natural Gas Boiler/Radiator,20.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,25.0,,,,
,,residential space heating,Reference LPG Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,Cordwood Stoves,20.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,25.0,,,,
,,residential space heating,Reference Kerosene Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,Reference Natural Gas Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,High Efficiency Natural Gas Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,High Efficiency Natural Gas Boiler/Radiator,20.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,25.0,,,,
,,residential space heating,High Efficiency Kerosene Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,High Efficiency LPG Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,High Efficiency Distillate Furnace,10.0,25.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,17.5,,,,
,,residential space heating,High Efficiency Distillate Boiler/Radiator,20.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,heating unit,,,weibull,25.0,,,,
,,residential lighting,Incandescent GSL,0.9,2.7,"Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames ""rsmlgt.txt"".",,equipment,bulb,,,weibull,,,,,
,,residential lighting,CFL GSL,9.15,27.45,"Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames ""rsmlgt.txt"".",,equipment,bulb,,,weibull,,,,,
,,residential lighting,LED GSL,25.0,75.0,"Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames ""rsmlgt.txt"".",,equipment,bulb,,,weibull,,,,,
,,medium duty trucks,Reference Medium - Duty Diesel Vehicle,10.0,20.0,"National Petroleum Council, Advancing Technology for America's Transportation",Reference diesel vehicle for class 3-6 freight trucks,equipment,truck,,,weibull,18.3,5.0,,,
,,medium duty trucks,Reference Medium-Duty Gasoline Vehicle,10.0,20.0,"National Petroleum Council, Advancing Technology for America's Transportation",Reference gasoline vehicle for class 3-6 freight trucks,equipment,truck,,,weibull,18.3,5.0,,,
,,medium duty trucks,Reference Medium-Duty CNG Vehicle,10.0,20.0,"National Petroleum Council, Advancing Technology for America's Transportation",Reference CNG vehicle for class 3-6 freight trucks,equipment,truck,,,weibull,18.3,5.0,,,
,,residential water heating,Reference Gas Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,High Efficiency Gas Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,Reference Distillate Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,High Efficiency Distillate Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,Reference LPG Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,High Efficiency LPG Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,9.0,,,,
,,residential water heating,Reference Electric Resistance Water Heater,6.0,20.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,13.0,,,,
,,residential water heating,Solar Water Heater with Electric Backup,10.0,30.0,Data used in support of AEO 2015 from the National Energy Modeling System: Input filenames “rsmeq.ptxt”.,,equipment,water heater,,,weibull,20.0,,,,
