demand_technology_id,gau,oth_1,oth_2,vintage,value,id,sensitivity
38,us,,,2013,1.0,1,
195,us,,,2010,1.0,2,
224,us,,,2015,36.1779,102,high efficiency
224,us,,,2020,54.7137,103,high efficiency
224,us,,,2025,63.5721,104,high efficiency
224,us,,,2030,70.8881,105,high efficiency
224,us,,,2035,83.0048,106,high efficiency
224,us,,,2050,99.8381,107,high efficiency
225,us,,,2015,36.9795,108,high efficiency
225,us,,,2020,54.4766,109,high efficiency
225,us,,,2025,63.1191,110,high efficiency
225,us,,,2030,70.804,111,high efficiency
225,us,,,2035,81.8248,112,high efficiency
225,us,,,2050,98.5952,113,high efficiency
234,us,,,2015,23.9914,114,high efficiency
234,us,,,2020,33.6818,115,high efficiency
234,us,,,2025,38.7185,116,high efficiency
234,us,,,2030,41.2481,117,high efficiency
234,us,,,2035,43.6104,118,high efficiency
234,us,,,2050,50.8116,119,high efficiency
235,us,,,2015,24.4552,120,high efficiency
235,us,,,2020,35.4224,121,high efficiency
235,us,,,2025,40.544,122,high efficiency
235,us,,,2030,44.4156,123,high efficiency
235,us,,,2035,48.5895,124,high efficiency
235,us,,,2050,60.7296,125,high efficiency
224,us,,,2015,36.1779,126,
224,us,,,2020,45.215,127,
224,us,,,2025,52.9785,128,
224,us,,,2030,59.136,129,
224,us,,,2035,65.4789,130,
224,us,,,2050,73.163,131,
225,us,,,2015,36.9795,132,
225,us,,,2020,47.3247,133,
225,us,,,2025,54.336,134,
225,us,,,2030,61.0016,135,
225,us,,,2035,67.4982,136,
225,us,,,2050,77.2331,137,
234,us,,,2015,23.9914,138,
234,us,,,2020,28.408,139,
234,us,,,2025,33.7294,140,
234,us,,,2030,35.4224,141,
234,us,,,2035,37.4157,142,
234,us,,,2050,40.6567,143,
235,us,,,2015,24.4552,144,
235,us,,,2020,30.9706,145,
235,us,,,2025,35.3381,146,
235,us,,,2030,38.1757,147,
235,us,,,2035,41.1429,148,
235,us,,,2050,47.5783,149,
224,us,,,2015,36.1779,150,low efficiency
224,us,,,2020,39.3736,151,low efficiency
224,us,,,2025,41.0253,152,low efficiency
224,us,,,2030,43.7679,153,low efficiency
224,us,,,2035,48.1663,154,low efficiency
224,us,,,2050,52.2515,155,low efficiency
225,us,,,2015,36.9795,156,low efficiency
225,us,,,2020,41.2891,157,low efficiency
225,us,,,2025,44.9103,158,low efficiency
225,us,,,2030,48.9734,159,low efficiency
225,us,,,2035,55.1922,160,low efficiency
225,us,,,2050,62.9165,161,low efficiency
234,us,,,2015,23.9914,162,low efficiency
234,us,,,2020,24.3621,163,low efficiency
234,us,,,2025,26.6894,164,low efficiency
234,us,,,2030,27.7978,165,low efficiency
234,us,,,2035,29.2792,166,low efficiency
234,us,,,2050,31.5569,167,low efficiency
235,us,,,2015,24.4552,168,low efficiency
235,us,,,2020,27.1226,169,low efficiency
235,us,,,2025,30.0355,170,low efficiency
235,us,,,2030,31.9666,171,low efficiency
235,us,,,2035,34.5232,172,low efficiency
235,us,,,2050,39.7288,173,low efficiency
