demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth,reference_tech_operation
Reference Air Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Distillate Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Distillate Boiler/Radiator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Electric Unit Heaters,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Natural Gas Boiler/Radiator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference LPG Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Geothermal Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Cordwood Stoves,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Kerosene Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Natural Gas Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Air Source Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Natural Gas Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Natural Gas Boiler/Radiator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Kerosene Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency LPG Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Distillate Furnace,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Distillate Boiler/Radiator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Geothermal Heat Pump - Heating,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Incandescent GSL,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
CFL GSL,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
LED GSL,absolute,,us,,,USD,2010.0,False,linear_interpolation,nearest,,
Reference Medium - Duty Diesel Vehicle,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Reference Medium-Duty Gasoline Vehicle,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Reference Medium-Duty CNG Vehicle,absolute,,us,,,USD,2008.0,False,linear_interpolation,nearest,,
Reference Gas Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Gas Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Distillate Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Distillate Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference LPG Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency LPG Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Electric Resistance Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Electric Heat Pump Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Electric Heat Pump Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Solar Water Heater with Electric Backup,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Electric Resistance Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Instantaneous Gas Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Instantaneous Gas Water Heater,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Central Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Central Air Conditioner,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Air Source Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Geothermal Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Air Source Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Geothermal Heat Pump - Cooling,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Top Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Top Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Bottom Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Bottom Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Side Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Side Mount Refrigerator,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Upright Freezer,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
High Efficiency Upright Freezer,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
Reference Chest Freezer,absolute,,us,,,USD,2013.0,False,linear_interpolation,nearest,,
