demand_technology_id,gau,oth_1,oth_2,vintage,value,id,sensitivity
13,us,,,2009,925.0,1,
13,us,,,2013,925.0,2,
13,us,,,2020,1150.0,3,
13,us,,,2030,1150.0,4,
13,us,,,2040,1150.0,5,
15,us,,,2013,1600.0,6,
10,us,,,2009,3000.0,16,
10,us,,,2013,2000.0,17,
10,us,,,2020,3000.0,18,
10,us,,,2030,3000.0,19,
10,us,,,2040,3000.0,20,
21,us,,,2013,9000.0,21,
21,us,,,2020,9000.0,22,
21,us,,,2030,9000.0,23,
21,us,,,2040,9000.0,24,
5,us,,,2009,2150.0,25,
5,us,,,2013,2350.0,26,
5,us,,,2020,2350.0,27,
5,us,,,2030,2350.0,28,
5,us,,,2040,2350.0,29,
9,us,,,2013,925.0,30,
9,us,,,2020,925.0,31,
9,us,,,2030,925.0,32,
9,us,,,2040,925.0,33,
6,us,,,2009,2600.0,34,
6,us,,,2013,2600.0,35,
6,us,,,2020,2600.0,36,
6,us,,,2030,2600.0,37,
6,us,,,2040,2600.0,38,
8,us,,,2009,2250.0,39,
8,us,,,2013,2500.0,40,
8,us,,,2020,3400.0,41,
8,us,,,2030,3400.0,42,
8,us,,,2040,3400.0,43,
11,us,,,2009,3300.0,49,
11,us,,,2013,3300.0,50,
11,us,,,2020,3500.0,51,
11,us,,,2030,3700.0,52,
11,us,,,2040,3700.0,53,
22,us,,,2005,0.33,54,
22,us,,,2013,0.74,55,
22,us,,,2014,1.71,56,
23,us,,,2009,3.07,57,
23,us,,,2011,2.33,58,
23,us,,,2020,2.27,59,
23,us,,,2030,2.21,60,
23,us,,,2040,2.16,61,
24,us,,,2005,66.58,62,
24,us,,,2011,25.85,63,
24,us,,,2012,19.07,64,
24,us,,,2013,14.07,65,
24,us,,,2014,10.38,66,
24,us,,,2015,7.66,67,
24,us,,,2016,6.7,68,
24,us,,,2017,5.86,69,
24,us,,,2018,5.12,70,
24,us,,,2019,4.47,71,
24,us,,,2020,3.92,72,
24,us,,,2025,2.79,73,
24,us,,,2030,2.35,74,
24,us,,,2040,2.35,75,
25,us,,,2010,66861.0,76,
25,us,,,2015,68924.4,77,
25,us,,,2020,71328.0,78,
25,us,,,2025,72260.9,79,
25,us,,,2030,72681.3,80,
25,us,,,2035,73072.4,81,
25,us,,,2040,73435.8,82,
25,us,,,2045,74112.0,83,
25,us,,,2050,74419.9,84,
26,us,,,2010,58211.0,85,
26,us,,,2015,59334.7,86,
26,us,,,2020,60909.9,87,
26,us,,,2025,61664.1,88,
26,us,,,2030,62168.1,89,
26,us,,,2035,62638.9,90,
26,us,,,2040,63078.3,91,
26,us,,,2045,63487.7,92,
26,us,,,2050,63868.9,93,
27,us,,,2007,87886.0,94,
27,us,,,2008,87886.0,95,
27,us,,,2009,87886.0,96,
27,us,,,2010,87886.0,97,
27,us,,,2011,87174.8,98,
27,us,,,2012,86463.6,99,
27,us,,,2013,85752.5,100,
27,us,,,2014,85041.3,101,
27,us,,,2015,84330.1,102,
27,us,,,2016,83924.8,103,
27,us,,,2017,83519.5,104,
27,us,,,2018,83114.2,105,
27,us,,,2019,82708.9,106,
27,us,,,2020,82303.5,107,
27,us,,,2021,82136.7,108,
27,us,,,2022,81970.0,109,
27,us,,,2023,81803.2,110,
27,us,,,2024,81636.4,111,
27,us,,,2025,81469.6,112,
27,us,,,2026,81370.3,113,
27,us,,,2027,81270.9,114,
27,us,,,2028,81171.5,115,
27,us,,,2029,81072.2,116,
27,us,,,2030,80972.9,117,
27,us,,,2031,80921.8,118,
27,us,,,2032,80870.7,119,
27,us,,,2033,80819.6,120,
27,us,,,2034,80768.5,121,
27,us,,,2035,80717.4,122,
27,us,,,2036,80715.2,123,
27,us,,,2037,80713.1,124,
27,us,,,2038,80711.0,125,
27,us,,,2039,80708.9,126,
27,us,,,2040,80706.8,127,
27,us,,,2041,80661.9,128,
27,us,,,2042,80616.9,129,
27,us,,,2043,80572.0,130,
27,us,,,2044,80527.1,131,
27,us,,,2045,80482.1,132,
27,us,,,2046,80465.5,133,
27,us,,,2047,80448.8,134,
27,us,,,2048,80432.1,135,
27,us,,,2049,80415.4,136,
27,us,,,2050,80398.7,137,
19,us,,,2013,2800.0,139,
20,us,,,2013,3725.0,140,
16,us,,,2013,3975.0,141,
18,us,,,2013,1350.0,142,
