demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,currency,currency_year_id,is_levelized,interpolation_method,extrapolation_method,extrapolation_growth
Reference Air Source Heat Pump - Heating,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
High Efficiency Air Source Heat Pump - Heating,relative,4.0,,,,,,False,,,
Reference Electric Resistance Water Heater,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Reference Electric Heat Pump Water Heater,relative,35.0,,,,,,False,,,
High Efficiency Electric Heat Pump Water Heater,relative,35.0,,,,,,False,,,
High Efficiency Electric Resistance Water Heater,relative,35.0,,,,,,False,,,
Electric Cooktop/Stove,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Reference Electric Clothes Dryer,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Hydrogen FCV Heavy-Duty Vehicle,absolute,,us,,,EUR,2010.0,False,linear_interpolation,nearest,
Autonomous Electric Light-Duty Auto,relative,222.0,,,,,,,linear_interpolation,nearest,
Autonomous Electric Light-Duty Truck,relative,233.0,,,,,,,linear_interpolation,nearest,
Reference Air Source Heat Pump - Heating (with flex cost),relative,4.0,,,,,,,,,
High Efficiency Air Source Heat Pump - Heating (with flex cost),relative,4.0,,,,,,,,,
Reference Electric Resistance Water Heater (with flex cost),relative,35.0,,,,,,,,,
Reference Electric Heat Pump Water Heater (with flex cost),relative,35.0,,,,,,,,,
High Efficiency Electric Heat Pump Water Heater (with flex cost),relative,35.0,,,,,,,,,
High Efficiency Electric Resistance Water Heater (with flex cost),relative,35.0,,,,,,,,,
Reference Electric Clothes Dryer (with flex cost),relative,65.0,,,,,,,,,
Battery Electric Medium-Duty Vehicle,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Auto - 200 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
PHEV - 50 mile range - Light Duty Auto,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
PHEV - 25 mile range - Light Duty Auto,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Truck - 200 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
PHEV - Gasoline - 50 mile range - Light Duty Truck,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
PHEV - Gasoline - 25 mile range - Light Duty Truck,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Heavy Duty Vehicle,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Auto - 100 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Auto - 300 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Truck - 100 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Light-Duty Truck - 300 mile range,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
Electric Transit bus,absolute,,us,,,USD,2016.0,False,linear_interpolation,nearest,
