demand_technology_id,gau,oth_1,oth_2,vintage,value,id,sensitivity
216,us,,,2010,8000.0,2,
4,us,,,2015,0.0,128,
35,us,,,2015,0.0,133,
59,us,,,2015,0.0,134,
65,us,,,2015,0.0,135,
211,us,,,2016,897.146,136,high cost
211,us,,,2016,672.859,137,low cost
211,us,,,2016,728.931,138,
222,us,,,2016,683.826,139,high cost
222,us,,,2016,529.978,140,low cost
222,us,,,2016,573.94,141,
224,us,,,2016,683.826,142,high cost
224,us,,,2016,529.978,143,low cost
224,us,,,2016,573.94,144,
225,us,,,2016,683.826,145,high cost
225,us,,,2016,529.978,146,low cost
225,us,,,2016,573.94,147,
233,us,,,2016,683.826,148,high cost
233,us,,,2016,529.978,149,low cost
233,us,,,2016,573.94,150,
234,us,,,2016,683.826,151,high cost
234,us,,,2016,529.978,152,low cost
234,us,,,2016,573.94,153,
235,us,,,2016,683.826,154,high cost
235,us,,,2016,529.978,155,low cost
235,us,,,2016,573.94,156,
253,us,,,2016,897.146,157,high cost
253,us,,,2016,672.859,158,low cost
253,us,,,2016,728.931,159,
414,us,,,2016,683.826,160,high cost
414,us,,,2016,529.978,161,low cost
414,us,,,2016,573.94,162,
415,us,,,2016,683.826,163,high cost
415,us,,,2016,529.978,164,low cost
415,us,,,2016,573.94,165,
416,us,,,2016,683.826,166,high cost
416,us,,,2016,529.978,167,low cost
416,us,,,2016,573.94,168,
417,us,,,2016,683.826,169,high cost
417,us,,,2016,529.978,170,low cost
417,us,,,2016,573.94,171,
418,us,,,2016,2738.61,172,high cost
418,us,,,2016,1825.74,173,low cost
418,us,,,2016,2282.18,174,
