demand_technology_id,gau,oth_1,oth_2,vintage,value,id,sensitivity
10,us,,,2009,5750.0,1,
10,us,,,2013,4250.0,2,
10,us,,,2020,5750.0,3,
4,us,,,2013,225.0,4,
4,us,,,2009,225.0,5,
4,us,,,2020,250.0,6,
14,us,,,2020,250.0,7,
14,us,,,2013,225.0,8,
14,us,,,2009,225.0,9,
5,us,,,2009,775.0,10,
5,us,,,2013,950.0,11,
5,us,,,2020,950.0,12,
5,us,,,2030,1350.0,13,
5,us,,,2040,1350.0,14,
19,us,,,2013,2075.0,15,
19,us,,,2020,2075.0,16,
19,us,,,2030,2075.0,17,
19,us,,,2040,2075.0,18,
6,us,,,2013,1850.0,19,
20,us,,,2013,3000.0,20,
8,us,,,2009,1950.0,22,
8,us,,,2013,1950.0,24,
8,us,,,2020,2900.0,25,
16,us,,,2013,3000.0,26,
9,us,,,2013,975.0,27,
18,us,,,2013,1350.0,28,
11,us,,,2013,4600.0,29,
12,us,,,2009,775.0,30,
12,us,,,2013,950.0,31,
17,us,,,2013,2075.0,32,
13,us,,,2009,975.0,33,
13,us,,,2013,975.0,34,
13,us,,,2020,1350.0,35,
15,us,,,2013,1350.0,36,
38,us,,,2009,4550.0,37,
29,us,,,2009,480.0,38,
30,us,,,2013,480.0,39,
31,us,,,2013,640.0,40,
32,us,,,2013,640.0,41,
33,us,,,2013,480.0,42,
34,us,,,2013,530.0,43,
35,us,,,2013,320.0,44,
39,us,,,2013,320.0,45,
36,us,,,2013,320.0,46,
37,us,,,2013,320.0,47,
40,us,,,2013,530.0,48,
41,us,,,2013,530.0,49,
42,us,,,2009,400.0,50,
43,us,,,2013,550.0,51,
44,us,,,2013,225.0,52,
44,us,,,2009,225.0,53,
44,us,,,2020,250.0,54,
45,us,,,2009,5750.0,55,
45,us,,,2013,4250.0,56,
45,us,,,2020,5750.0,57,
46,us,,,2020,250.0,58,
46,us,,,2013,225.0,59,
46,us,,,2009,225.0,60,
47,us,,,2013,7750.0,61,
58,us,,,2013,50.0,62,
59,us,,,2013,50.0,63,
60,us,,,2013,50.0,64,
165,us,,,2003,104.05,65,
165,us,,,2007,104.1,66,
165,us,,,2011,108.85,67,
165,us,,,2012,108.85,68,
165,us,,,2017,108.9,69,
165,us,,,2020,108.9,70,
166,us,,,2011,108.9,71,
166,us,,,2020,108.9,72,
176,us,,,2003,0.6,73,
176,us,,,2007,0.6,74,
176,us,,,2011,0.6,75,
177,us,,,2011,0.66,76,
178,us,,,2003,0.0309211,77,
178,us,,,2007,0.0355263,78,
178,us,,,2011,0.0355263,79,
179,us,,,2011,0.0394737,80,
180,us,,,2003,92.5728,81,
180,us,,,2007,108.761,82,
180,us,,,2009,58.5556,83,
180,us,,,2011,58.5556,84,
180,us,,,2017,58.5556,85,
71,us,,,2009,1000.0,86,
72,us,,,2009,1000.0,87,
69,us,,,2013,320.0,88,
70,us,,,2013,320.0,89,
21,us,,,2013,7750.0,90,
61,us,,,2013,100.0,91,
62,us,,,2013,100.0,92,
63,us,,,2013,100.0,93,
64,us,,,2013,100.0,94,
65,us,,,2013,110.0,95,
66,us,,,2013,110.0,96,
67,us,,,2013,160.0,97,
68,us,,,2013,160.0,98,
73,us,,,2009,100.0,99,
74,us,,,2009,100.0,100,
88,us,,,2003,0.67,101,
88,us,,,2013,0.74,102,
88,us,,,2020,0.74,103,
89,us,,,2013,0.83,104,
89,us,,,2020,0.83,105,
89,us,,,2030,0.84,106,
90,us,,,2003,0.72,107,
90,us,,,2012,0.75,108,
90,us,,,2013,0.76,109,
90,us,,,2020,0.76,110,
92,us,,,2003,6.84,111,
92,us,,,2012,6.93,112,
