demand_technology,definition,reference_tech_id,geography,other_index_1,other_index_2,final_energy,utility_factor,is_numerator_service,numerator_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,geography_map_key
Reference Distillate Furnace,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Distillate Boiler/Radiator,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Electric Unit Heaters,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Natural Gas Boiler/Radiator,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference LPG Furnace,absolute,,us,,,lpg fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Geothermal Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Cordwood Stoves,absolute,,us,,,biomass - wood,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Kerosene Furnace,absolute,,us,,,kerosene fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Natural Gas Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Natural Gas Furnace,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Natural Gas Boiler/Radiator,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Kerosene Furnace,absolute,,us,,,kerosene fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency LPG Furnace,absolute,,us,,,lpg fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Distillate Furnace,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Distillate Boiler/Radiator,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Geothermal Heat Pump - Heating,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Incandescent GSL,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
CFL GSL,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
LED GSL,absolute,,us,,,electricity,1.0,True,lumen_hour,watt_hour,linear_interpolation,nearest,,,,
Reference Medium - Duty Diesel Vehicle,absolute,,us,,,diesel fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Medium-Duty Gasoline Vehicle,absolute,,us,,,gasoline fuel,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Medium-Duty CNG Vehicle,absolute,,us,,,compressed pipeline gas,1.0,True,mile,US_gge,linear_interpolation,nearest,,,,
Reference Gas Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Gas Water Heater,absolute,,us,,,pipeline gas,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Distillate Water Heater,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Distillate Water Heater,absolute,,us,,,diesel fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference LPG Water Heater,absolute,,us,,,lpg fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency LPG Water Heater,absolute,,us,,,lpg fuel,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Reference Electric Resistance Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
Solar Water Heater with Electric Backup,absolute,,us,,,solar ,0.5,True,Btu,Btu,linear_interpolation,nearest,,,,
High Efficiency Electric Resistance Water Heater,absolute,,us,,,electricity,1.0,True,Btu,Btu,linear_interpolation,nearest,,,,
