demand_technology_id,gau,oth_1,oth_2,vintage,value,id,sensitivity
13,us,,,2040,0.92,1,
13,us,,,2030,0.92,2,
13,us,,,2020,0.9,3,
13,us,,,2013,0.8,4,
13,us,,,2009,0.8,5,
15,us,,,2040,0.98,6,
15,us,,,2030,0.98,7,
15,us,,,2020,0.98,8,
15,us,,,2013,0.98,9,
10,us,,,2009,3.0,15,
10,us,,,2013,3.2,16,
10,us,,,2020,3.6,17,
10,us,,,2030,3.8,18,
10,us,,,2040,4.0,19,
21,us,,,2030,5.2,20,
21,us,,,2040,5.4,21,
21,us,,,2020,4.9,22,
21,us,,,2013,4.5,23,
5,us,,,2009,0.8,24,
5,us,,,2013,0.83,25,
5,us,,,2020,0.83,26,
5,us,,,2030,0.84,27,
5,us,,,2040,0.84,28,
9,us,,,2013,0.8,29,
9,us,,,2010,0.78,30,
6,us,,,2009,0.8,31,
6,us,,,2013,0.84,32,
8,us,,,2009,0.8,33,
8,us,,,2013,0.82,34,
8,us,,,2020,0.9,35,
8,us,,,2030,0.93,36,
8,us,,,2040,0.95,37,
11,us,,,2009,0.68,38,
11,us,,,2013,0.72,39,
11,us,,,2020,0.78,40,
11,us,,,2030,0.81,41,
11,us,,,2040,0.82,42,
22,us,,,2005,14.5,43,
22,us,,,2013,16.1,44,
22,us,,,2014,19.8,45,
23,us,,,2009,67.2,46,
23,us,,,2011,67.2,47,
23,us,,,2020,69.0,48,
23,us,,,2030,70.7,49,
23,us,,,2040,72.5,50,
24,us,,,2005,44.0,51,
24,us,,,2011,60.0,52,
24,us,,,2012,66.8,53,
24,us,,,2013,74.3,54,
24,us,,,2014,82.7,55,
24,us,,,2015,92.0,56,
24,us,,,2016,102.4,57,
24,us,,,2017,113.9,58,
24,us,,,2018,126.8,59,
24,us,,,2019,141.1,60,
24,us,,,2020,157.0,61,
24,us,,,2025,179.5,62,
24,us,,,2030,202.0,63,
24,us,,,2040,202.0,64,
25,us,,,2010,8.0,65,
25,us,,,2015,8.7,66,
25,us,,,2020,9.5,67,
25,us,,,2025,9.9,68,
25,us,,,2030,10.1,69,
25,us,,,2035,10.3,70,
25,us,,,2040,10.5,71,
25,us,,,2045,10.8,72,
25,us,,,2050,11.0,73,
26,us,,,2010,7.0,74,
26,us,,,2015,7.3,75,
26,us,,,2020,7.7,76,
26,us,,,2025,8.0,77,
26,us,,,2030,8.2,78,
26,us,,,2035,8.3,79,
26,us,,,2040,8.5,80,
26,us,,,2045,8.7,81,
26,us,,,2050,8.9,82,
27,us,,,2007,7.2,83,
27,us,,,2008,7.2,84,
27,us,,,2009,7.2,85,
27,us,,,2010,7.2,86,
27,us,,,2011,7.3,87,
27,us,,,2012,7.4,88,
27,us,,,2013,7.4,89,
27,us,,,2014,7.5,90,
27,us,,,2015,7.5,91,
27,us,,,2016,7.6,92,
27,us,,,2017,7.6,93,
27,us,,,2018,7.6,94,
27,us,,,2019,7.7,95,
27,us,,,2020,7.7,96,
27,us,,,2021,7.8,97,
27,us,,,2022,7.8,98,
27,us,,,2023,7.9,99,
27,us,,,2024,7.9,100,
27,us,,,2025,8.0,101,
27,us,,,2026,8.0,102,
27,us,,,2027,8.0,103,
27,us,,,2028,8.0,104,
27,us,,,2029,8.0,105,
27,us,,,2030,8.1,106,
27,us,,,2031,8.1,107,
27,us,,,2032,8.1,108,
27,us,,,2033,8.2,109,
27,us,,,2034,8.2,110,
27,us,,,2035,8.2,111,
27,us,,,2036,8.3,112,
27,us,,,2037,8.3,113,
27,us,,,2038,8.4,114,
27,us,,,2039,8.5,115,
27,us,,,2040,8.5,116,
27,us,,,2041,8.5,117,
27,us,,,2042,8.6,118,
27,us,,,2043,8.6,119,
27,us,,,2044,8.7,120,
27,us,,,2045,8.7,121,
27,us,,,2046,8.7,122,
27,us,,,2047,8.8,123,
27,us,,,2048,8.8,124,
27,us,,,2049,8.8,125,
27,us,,,2050,8.9,126,
12,us,,,2012,0.8,129,
12,us,,,2013,0.83,130,
16,us,,,2014,0.96,131,
17,us,,,2014,0.97,132,
18,us,,,2014,0.98,133,
19,us,,,2014,0.97,134,
20,us,,,2013,0.91,135,
38,us,,,2009,1.0,136,
29,us,,,2009,0.6,137,
29,us,,,2013,0.62,138,
30,us,,,2013,0.8,139,
30,us,,,2020,0.85,140,
31,us,,,2009,0.5,141,
31,us,,,2013,0.54,142,
31,us,,,2020,0.62,143,
32,us,,,2013,0.68,144,
33,us,,,2009,0.59,145,
33,us,,,2013,0.62,146,
34,us,,,2013,0.8,147,
35,us,,,2009,0.9,148,
35,us,,,2013,0.92,149,
35,us,,,2020,0.95,150,
39,us,,,2013,0.95,151,
39,us,,,2020,0.96,152,
40,us,,,2009,0.82,160,
41,us,,,2013,0.98,161,
45,us,,,2009,3.60492,175,
45,us,,,2013,4.16178,176,
45,us,,,2020,5.01172,177,
45,us,,,2030,6.15475,178,
45,us,,,2040,7.034,179,
47,us,,,2013,8.20633,180,
47,us,,,2020,10.551,181,
47,us,,,2030,12.3095,182,
47,us,,,2040,13.4818,183,
52,us,,,2009,34.19,184,
52,us,,,2013,22.9231,185,
52,us,,,2020,22.9231,186,
52,us,,,2030,22.4231,187,
53,us,,,2013,19.5769,188,
48,us,,,2009,30.84,189,
48,us,,,2013,21.4211,190,
48,us,,,2020,21.2105,191,
48,us,,,2030,20.26,192,
49,us,,,2013,16.3684,193,
50,us,,,2009,27.3333,194,
50,us,,,2013,25.7143,195,
50,us,,,2020,25.619,196,
50,us,,,2030,21.8571,197,
51,us,,,2013,21.7619,198,
54,us,,,2009,45.5882,199,
54,us,,,2013,37.7647,200,
54,us,,,2020,28.6471,201,
55,us,,,2013,36.1765,202,
55,us,,,2020,28.6471,203,
56,us,,,2009,25.2941,204,
56,us,,,2013,21.7647,205,
56,us,,,2020,19.2353,206,
57,us,,,2013,20.8235,207,
57,us,,,2020,19.2353,208,
58,us,,,2009,0.385,209,
58,us,,,2013,0.399,210,
60,us,,,2013,0.42,211,
59,us,,,2013,0.7,212,
61,us,,,2009,0.0485,213,
61,us,,,2013,0.0307,214,
62,us,,,2013,0.0211,215,
63,us,,,2009,0.09333,216,
63,us,,,2013,0.08,217,
63,us,,,2020,0.022,218,
64,us,,,2013,0.0166,219,
65,us,,,2009,3.55,220,
65,us,,,2013,3.73,221,
65,us,,,2020,3.73,222,
65,us,,,2030,3.81,223,
66,us,,,2013,3.81,224,
66,us,,,2020,5.42,225,
67,us,,,2009,3.14,226,
67,us,,,2013,3.24,227,
67,us,,,2020,3.3,228,
68,us,,,2013,3.61,229,
69,us,,,2009,1.45116,230,
69,us,,,2013,1.3702,231,
70,us,,,2013,0.837,232,
71,us,,,2009,1.3,233,
72,us,,,2009,0.6,234,
72,us,,,2013,0.6,235,
72,us,,,2020,0.7,236,
75,us,,,2003,0.97,245,
77,us,,,2005,9.7,246,
77,us,,,2020,9.8,247,
77,us,,,2030,9.9,248,
78,us,,,2005,48.0,249,
78,us,,,2020,50.4,250,
78,us,,,2030,52.9,251,
78,us,,,2040,55.6,252,
79,us,,,2005,12.6,253,
79,us,,,2020,13.2,254,
79,us,,,2030,13.9,255,
79,us,,,2040,14.6,256,
80,us,,,2005,36.0,257,
80,us,,,2011,50.0,258,
80,us,,,2012,56.8,259,
80,us,,,2013,64.5,260,
80,us,,,2014,73.2,261,
80,us,,,2015,83.1,262,
80,us,,,2016,94.4,263,
80,us,,,2017,107.2,264,
80,us,,,2018,121.8,265,
80,us,,,2019,138.3,266,
80,us,,,2020,157.0,267,
80,us,,,2025,180.0,268,
80,us,,,2030,202.0,269,
80,us,,,2040,202.0,270,
81,us,,,2005,63.1,271,
82,us,,,2005,73.8,272,
82,us,,,2020,77.0,273,
82,us,,,2030,77.7,274,
82,us,,,2040,77.7,275,
83,us,,,2005,50.0,276,
83,us,,,2013,107.0,277,
83,us,,,2020,157.0,278,
84,us,,,2005,36.0,279,
84,us,,,2011,50.0,280,
84,us,,,2012,56.8,281,
84,us,,,2013,64.5,282,
84,us,,,2014,73.2,283,
84,us,,,2015,83.1,284,
84,us,,,2016,94.4,285,
84,us,,,2017,107.2,286,
84,us,,,2018,121.8,287,
84,us,,,2019,138.3,288,
84,us,,,2020,157.0,289,
84,us,,,2025,180.0,290,
84,us,,,2030,202.0,291,
84,us,,,2040,202.0,292,
85,us,,,2010,92.8,293,
86,us,,,2005,48.0,294,
86,us,,,2020,50.4,295,
86,us,,,2030,52.9,296,
86,us,,,2040,55.6,297,
87,us,,,2005,12.27,298,
87,us,,,2013,12.8,299,
87,us,,,2014,14.03,300,
87,us,,,2020,11.5,301,
87,us,,,2030,11.9,302,
