demand_technology_id,gau,oth_1,oth_2,final_energy,vintage,value,id,sensitivity
5,us,,,electricity,2009,490.0,1,
5,us,,,electricity,2013,477.0,2,
5,us,,,electricity,2020,477.0,3,
5,us,,,electricity,2030,472.0,4,
5,us,,,electricity,2040,472.0,5,
19,us,,,electricity,2013,410.0,6,
19,us,,,electricity,2020,410.0,7,
19,us,,,electricity,2030,410.0,8,
19,us,,,electricity,2040,410.0,9,
13,us,,,electricity,2009,312.0,10,
13,us,,,electricity,2013,312.0,11,
13,us,,,electricity,2020,289.0,12,
13,us,,,electricity,2030,283.0,13,
13,us,,,electricity,2040,283.0,14,
15,us,,,electricity,2013,363.0,15,
71,us,,,electricity,2009,1000.0,16,
71,us,,,electricity,2013,1000.0,17,
71,us,,,electricity,2020,750.0,18,
72,us,,,electricity,2009,1000.0,19,
72,us,,,electricity,2013,1000.0,20,
72,us,,,electricity,2020,750.0,21,
