demand_technology,geography,other_index_1,other_index_2,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay
Reference Air Source Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
High Efficiency Air Source Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
Reference Electric Heat Pump Water Heater,us,,,linear_interpolation,nearest,,,
High Efficiency Electric Heat Pump Water Heater,us,,,linear_interpolation,nearest,,,
Reference Central Air Conditioner,us,,,linear_interpolation,nearest,,,
High Efficiency Central Air Conditioner,us,,,linear_interpolation,nearest,,,
Reference Air Source Heat Pump - Cooling,us,,,linear_interpolation,nearest,,,
Reference Geothermal Heat Pump - Cooling,us,,,linear_interpolation,nearest,,,
High Efficiency Air Source Heat Pump - Cooling,us,,,linear_interpolation,nearest,,,
High Efficiency Geothermal Heat Pump - Cooling,us,,,linear_interpolation,nearest,,,
Reference Room Air Conditioner,us,,,linear_interpolation,nearest,,,
High Efficiency Room Air Conditioner,us,,,linear_interpolation,nearest,,,
Reference Commercial Air Source Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
High Efficiency Commercial Air Source Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
Commercial Electric Boiler,us,,,linear_interpolation,nearest,,,
Commercial Reference Heat Pump Storage Water Heater,us,,,linear_interpolation,nearest,,,
Commercial High Efficiency Heat Pump Storage Water Heater,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Auto - 200 mile range,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Truck - 200 mile range,us,,,linear_interpolation,nearest,,,
Autonomous Electric Light-Duty Auto,us,,,linear_interpolation,nearest,,,
Autonomous Electric Light-Duty Truck,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Auto - 100 mile range,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Auto - 300 mile range,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Truck - 100 mile range,us,,,linear_interpolation,nearest,,,
Electric Light-Duty Truck - 300 mile range,us,,,linear_interpolation,nearest,,,
Ductless Mini-Split Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
Through-the-wall Heat Pump - Heating,us,,,linear_interpolation,nearest,,,
Reference Air Source Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Air Source Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Electric Heat Pump Water Heater (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Electric Heat Pump Water Heater (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Central Air Conditioner (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Central Air Conditioner (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Air Source Heat Pump - Cooling (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Geothermal Heat Pump - Cooling (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Air Source Heat Pump - Cooling (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Geothermal Heat Pump - Cooling (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Room Air Conditioner (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Room Air Conditioner (with flex cost),us,,,linear_interpolation,nearest,,,
Reference Commercial Air Source Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
High Efficiency Commercial Air Source Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
Commercial Electric Boiler (with flex cost),us,,,linear_interpolation,nearest,,,
Commercial Reference Heat Pump Storage Water Heater (with flex cost),us,,,linear_interpolation,nearest,,,
Commercial High Efficiency Heat Pump Storage Water Heater (with flex cost),us,,,linear_interpolation,nearest,,,
Ductless Mini-Split Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
Through-the-wall Heat Pump - Heating (with flex cost),us,,,linear_interpolation,nearest,,,
