service_link,gau,oth_1,oth_2,vintage,value,id
1,us,,,2009,0.33,1
1,us,,,2013,0.25,2
2,us,,,2013,0.217,3
3,us,,,2009,0.44,4
3,us,,,2013,0.45,5
3,us,,,2020,0.336,6
4,us,,,2013,0.25,7
5,us,,,2009,0.10355,8
5,us,,,2013,0.041,9
6,us,,,2013,0.0519,10
7,us,,,2009,0.3033,11
7,us,,,2020,0.182857,12
8,us,,,2013,0.08125,13
9,us,,,2009,4.5,14
9,us,,,2013,4.25,15
10,us,,,2013,2.22,16
11,us,,,2009,0.0,17
12,us,,,2009,1.0,18
13,us,,,2009,0.0,19
15,us,,,2009,0.0,21
16,us,,,2009,1.0,22
17,us,,,2009,0.0,23
18,us,,,2009,1.0,24
19,us,,,2009,1.0,25
20,us,,,2009,1.0,26
21,us,,,2009,0.0,27
22,us,,,2009,1.0,28
23,us,,,2009,0.0,29
25,us,,,2009,1.0,31
26,us,,,2009,1.0,32
27,us,,,2009,0.0,33
28,us,,,2009,0.0,34
29,us,,,2009,1.0,387
35,us,,,2009,1.0,388
36,middle atlantic,single-family,,2011,0.8325,835
36,middle atlantic,single-family,,2012,0.8325,836
36,middle atlantic,single-family,,2013,0.8325,837
36,middle atlantic,single-family,,2014,0.8325,838
36,middle atlantic,single-family,,2017,0.8325,839
36,east south central,single-family,,2011,0.7686,840
36,east south central,single-family,,2012,0.7686,841
36,east south central,single-family,,2013,0.7686,842
36,east south central,single-family,,2014,0.7686,843
36,east south central,single-family,,2017,0.7686,844
36,west south central,single-family,,2010,0.801373,845
36,middle atlantic,single-family,,2010,0.839182,846
36,east north central,single-family,,2011,0.8975,847
36,east north central,single-family,,2012,0.8975,848
36,east north central,single-family,,2013,0.8975,849
36,east north central,single-family,,2014,0.8975,850
36,east north central,single-family,,2017,0.8975,851
36,east north central,single-family,,2010,0.915136,852
36,west north central,single-family,,2011,0.8471,853
36,west north central,single-family,,2012,0.8471,854
36,west north central,single-family,,2013,0.8471,855
36,west north central,single-family,,2014,0.8471,856
36,west north central,single-family,,2017,0.8471,857
36,west north central,single-family,,2010,0.860936,858
36,south atlantic,single-family,,2010,0.876236,859
36,east south central,single-family,,2010,0.864045,860
36,mountain,single-family,,2010,0.838427,861
36,mountain,single-family,,2011,0.8772,862
36,mountain,single-family,,2012,0.8772,863
36,mountain,single-family,,2013,0.8772,864
36,mountain,single-family,,2014,0.8772,865
36,mountain,single-family,,2017,0.8772,866
36,pacific,single-family,,2011,0.9005,867
36,pacific,single-family,,2012,0.9005,868
36,pacific,single-family,,2013,0.9005,869
36,pacific,single-family,,2014,0.9005,870
