name,geography
western interconnection,electricity interconnection
alabama,state
alaska,state
arizona,state
california,state
colorado,state
connecticut,state
district of columbia,state
florida,state
georgia,state
hawaii,state
idaho,state
illinois,state
indiana,state
iowa,state
kansas,state
louisiana,state
maine,state
massachusetts,state
michigan,state
minnesota,state
mississippi,state
missouri,state
montana,state
nebraska,state
nevada,state
new hampshire,state
new jersey,state
new york,state
north dakota,state
ohio,state
oklahoma,state
oregon,state
pennsylvania,state
puerto rico,state
rhode island,state
south carolina,state
south dakota,state
tennessee,state
texas,state
utah,state
vermont,state
west virginia,state
wisconsin,state
wyoming,state
new england,census division
middle atlantic,census division
east north central,census division
west north central,census division
south atlantic,census division
mountain,census division
pacific,census division
us,us
northeast,census region
midwest,census region
south,census region
west,census region
east (o&g producing region),o&g producing region
mid-continent (o&g producing region),o&g producing region
rocky mountains (o&g producing region),o&g producing region
PADD 3 (Gulf Coast),PADD
PADD 5 (West Coast),PADD
PADD 4 (Rocky Mountain),PADD
PADD 1 (East Coast),PADD
PADD 2 (Midwest),PADD
SRSO,egrid
SRTV,egrid
AKGD,egrid
AKMS,egrid
AZNM,egrid
NWPP,egrid
RMPA,egrid
CAMX,egrid
SPSO,egrid
SRMV,egrid
NEWE,egrid
NYCW,egrid
RFCE,egrid
FRCC,egrid
HIMS,egrid
HIOA,egrid
MROE,egrid
MROW,egrid
RFCW,egrid
SRMW,egrid
SPNO,egrid
NYUP,egrid
NYLI,egrid
SERC_STV,nerc
MAPP,nerc
WSCC_CNV,nerc
WSCC_NWP,nerc
SPP,nerc
WSCC_RA,nerc
NPCC_NE,nerc
MAAC,nerc
MAIN,nerc
ECAR,nerc
ERCOT,nerc
America/Puerto_Rico,time zone
US/Alaska,time zone
US/Arizona,time zone
US/Central,time zone
US/Eastern,time zone
US/Mountain,time zone
3A,IECC Climate Zone
2A,IECC Climate Zone
7B,IECC Climate Zone
8B,IECC Climate Zone
5B,IECC Climate Zone
3B,IECC Climate Zone
4B,IECC Climate Zone
2B,IECC Climate Zone
4A,IECC Climate Zone
3C,IECC Climate Zone
6B,IECC Climate Zone
4C,IECC Climate Zone
5A,IECC Climate Zone
SPSO (egrid with wecc detail),egrid with wecc detail
SRMV (egrid with wecc detail),egrid with wecc detail
SRMW (egrid with wecc detail),egrid with wecc detail
SRSO (egrid with wecc detail),egrid with wecc detail
SRVC (egrid with wecc detail),egrid with wecc detail
"autauga, alabama",county
"baldwin, alabama",county
"barbour, alabama",county
"bibb, alabama",county
"blount, alabama",county
"bullock, alabama",county
"butler, alabama",county
"chambers, alabama",county
"geneva, alabama",county
"greene, alabama",county
"hale, alabama",county
"henry, alabama",county
"houston, alabama",county
"jackson, alabama",county
"jefferson, alabama",county
"lamar, alabama",county
"lauderdale, alabama",county
"lawrence, alabama",county
"lee, alabama",county
"limestone, alabama",county
"macon, alabama",county
"madison, alabama",county
"marion, alabama",county
"marshall, alabama",county
"mobile, alabama",county
"monroe, alabama",county
"montgomery, alabama",county
"morgan, alabama",county
"perry, alabama",county
"pickens, alabama",county
"pike, alabama",county
"randolph, alabama",county
"russell, alabama",county
"shelby, alabama",county
"sumter, alabama",county
"talladega, alabama",county
"tuscaloosa, alabama",county
"walker, alabama",county
"washington, alabama",county
"wilcox, alabama",county
"winston, alabama",county
"aleutians east, alaska",county
"aleutians west, alaska",county
"anchorage, alaska",county
"bethel, alaska",county
"bristol bay, alaska",county
"denali, alaska",county
"fairbanks north star, alaska",county
"haines, alaska",county
"hoonah-angoon, alaska",county
"juneau, alaska",county
"ketchikan gateway, alaska",county
"kodiak island, alaska",county
"lake and peninsula, alaska",county
"matanuska-susitna, alaska",county
"nome, alaska",county
"north slope, alaska",county
"petersburg, alaska",county
"prince of wales-hyder, alaska",county
"sitka, alaska",county
"skagway, alaska",county
"southeast fairbanks, alaska",county
"valdez-cordova, alaska",county
"wade hampton, alaska",county
"yakutat, alaska",county
"yukon-koyukuk, alaska",county
"apache, arizona",county
"cochise, arizona",county
"coconino, arizona",county
"gila, arizona",county
"graham, arizona",county
"greenlee, arizona",county
"la paz, arizona",county
"maricopa, arizona",county
"mohave, arizona",county
"navajo, arizona",county
"pinal, arizona",county
"santa cruz, arizona",county
"yuma, arizona",county
"arkansas, arkansas",county
"ashley, arkansas",county
"baxter, arkansas",county
"benton, arkansas",county
"boone, arkansas",county
"bradley, arkansas",county
"carroll, arkansas",county
"chicot, arkansas",county
"clark, arkansas",county
"clay, arkansas",county
"cleburne, arkansas",county
"cleveland, arkansas",county
"columbia, arkansas",county
"craighead, arkansas",county
"crawford, arkansas",county
"crittenden, arkansas",county
"cross, arkansas",county
"dallas, arkansas",county
"desha, arkansas",county
"drew, arkansas",county
"franklin, arkansas",county
"fulton, arkansas",county
"grant, arkansas",county
"greene, arkansas",county
"hempstead, arkansas",county
"hot spring, arkansas",county
"howard, arkansas",county
"izard, arkansas",county
"jackson, arkansas",county
"jefferson, arkansas",county
"johnson, arkansas",county
"lafayette, arkansas",county
"lawrence, arkansas",county
"lee, arkansas",county
"lincoln, arkansas",county
"logan, arkansas",county
"lonoke, arkansas",county
"madison, arkansas",county
"marion, arkansas",county
"miller, arkansas",county
"mississippi, arkansas",county
"montgomery, arkansas",county
"nevada, arkansas",county
"newton, arkansas",county
"ouachita, arkansas",county
"perry, arkansas",county
"phillips, arkansas",county
"pike, arkansas",county
"polk, arkansas",county
"pope, arkansas",county
"prairie, arkansas",county
"pulaski, arkansas",county
"randolph, arkansas",county
"saline, arkansas",county
"scott, arkansas",county
"sebastian, arkansas",county
"sevier, arkansas",county
"sharp, arkansas",county
"st. francis, arkansas",county
"stone, arkansas",county
"washington, arkansas",county
"white, arkansas",county
"woodruff, arkansas",county
"yell, arkansas",county
"alameda, california",county
"alpine, california",county
"amador, california",county
"butte, california",county
"colusa, california",county
"contra costa, california",county
"del norte, california",county
"el dorado, california",county
"fresno, california",county
"humboldt, california",county
"imperial, california",county
"inyo, california",county
"kern, california",county
"kings, california",county
"lake, california",county
"lassen, california",county
"los angeles, california",county
"madera, california",county
"mariposa, california",county
"mendocino, california",county
"merced, california",county
"modoc, california",county
"monterey, california",county
"napa, california",county
"nevada, california",county
"orange, california",county
"placer, california",county
"plumas, california",county
"riverside, california",county
"sacramento, california",county
"san benito, california",county
"san diego, california",county
"san francisco, california",county
"san joaquin, california",county
"san mateo, california",county
"santa barbara, california",county
"santa clara, california",county
"santa cruz, california",county
"shasta, california",county
"sierra, california",county
"siskiyou, california",county
"solano, california",county
"sonoma, california",county
"stanislaus, california",county
"sutter, california",county
"tehama, california",county
"trinity, california",county
"tulare, california",county
"ventura, california",county
"yolo, california",county
"adams, colorado",county
"alamosa, colorado",county
"arapahoe, colorado",county
"archuleta, colorado",county
"baca, colorado",county
"bent, colorado",county
"boulder, colorado",county
"broomfield, colorado",county
"chaffee, colorado",county
"cheyenne, colorado",county
"clear creek, colorado",county
"conejos, colorado",county
"crowley, colorado",county
"delta, colorado",county
"denver, colorado",county
"dolores, colorado",county
"douglas, colorado",county
"eagle, colorado",county
"el paso, colorado",county
"elbert, colorado",county
"fremont, colorado",county
"garfield, colorado",county
"gilpin, colorado",county
"grand, colorado",county
"gunnison, colorado",county
"huerfano, colorado",county
"jefferson, colorado",county
"kiowa, colorado",county
"kit carson, colorado",county
"la plata, colorado",county
"lake, colorado",county
"las animas, colorado",county
"lincoln, colorado",county
"logan, colorado",county
"mesa, colorado",county
"mineral, colorado",county
"moffat, colorado",county
"montezuma, colorado",county
"montrose, colorado",county
"morgan, colorado",county
"otero, colorado",county
"ouray, colorado",county
"phillips, colorado",county
"prowers, colorado",county
"pueblo, colorado",county
"rio blanco, colorado",county
"rio grande, colorado",county
"routt, colorado",county
"saguache, colorado",county
"san juan, colorado",county
"san miguel, colorado",county
"sedgwick, colorado",county
"teller, colorado",county
"washington, colorado",county
"weld, colorado",county
"yuma, colorado",county
"hartford, connecticut",county
"litchfield, connecticut",county
"middlesex, connecticut",county
"new haven, connecticut",county
"new london, connecticut",county
"tolland, connecticut",county
"windham, connecticut",county
"kent, delaware",county
"new castle, delaware",county
"sussex, delaware",county
"baker, florida",county
"bay, florida",county
"bradford, florida",county
"brevard, florida",county
"broward, florida",county
"calhoun, florida",county
"charlotte, florida",county
"citrus, florida",county
"columbia, florida",county
"desoto, florida",county
"dixie, florida",county
"duval, florida",county
"escambia, florida",county
"flagler, florida",county
"franklin, florida",county
"gadsden, florida",county
"gilchrist, florida",county
"glades, florida",county
"gulf, florida",county
"hamilton, florida",county
"hardee, florida",county
"hendry, florida",county
"hillsborough, florida",county
"holmes, florida",county
"indian river, florida",county
"jackson, florida",county
"jefferson, florida",county
"lafayette, florida",county
"lake, florida",county
"lee, florida",county
"leon, florida",county
"levy, florida",county
"liberty, florida",county
"madison, florida",county
"marion, florida",county
"martin, florida",county
"monroe, florida",county
"nassau, florida",county
"okaloosa, florida",county
"okeechobee, florida",county
"orange, florida",county
"osceola, florida",county
"palm beach, florida",county
"pasco, florida",county
"pinellas, florida",county
"polk, florida",county
"putnam, florida",county
"sarasota, florida",county
"seminole, florida",county
"st. johns, florida",county
"sumter, florida",county
"suwannee, florida",county
"taylor, florida",county
"union, florida",county
"volusia, florida",county
"wakulla, florida",county
"walton, florida",county
"washington, florida",county
"appling, georgia",county
"atkinson, georgia",county
"bacon, georgia",county
"baker, georgia",county
"banks, georgia",county
"barrow, georgia",county
"bartow, georgia",county
"berrien, georgia",county
"bibb, georgia",county
"bleckley, georgia",county
"brantley, georgia",county
"brooks, georgia",county
"bryan, georgia",county
"bulloch, georgia",county
"burke, georgia",county
"butts, georgia",county
"camden, georgia",county
"candler, georgia",county
"carroll, georgia",county
"catoosa, georgia",county
"chatham, georgia",county
"chattahoochee, georgia",county
"cherokee, georgia",county
"clarke, georgia",county
"clay, georgia",county
"clayton, georgia",county
"clinch, georgia",county
"cobb, georgia",county
"coffee, georgia",county
"columbia, georgia",county
"cook, georgia",county
"coweta, georgia",county
"crawford, georgia",county
"crisp, georgia",county
"dade, georgia",county
"dawson, georgia",county
"dekalb, georgia",county
"dodge, georgia",county
"dooly, georgia",county
"dougherty, georgia",county
"douglas, georgia",county
"early, georgia",county
"echols, georgia",county
"elbert, georgia",county
"emanuel, georgia",county
"evans, georgia",county
"fannin, georgia",county
"fayette, georgia",county
"floyd, georgia",county
"franklin, georgia",county
"fulton, georgia",county
"gilmer, georgia",county
"glascock, georgia",county
"glynn, georgia",county
"gordon, georgia",county
"grady, georgia",county
"greene, georgia",county
"habersham, georgia",county
"hall, georgia",county
"hancock, georgia",county
"haralson, georgia",county
"harris, georgia",county
"hart, georgia",county
"heard, georgia",county
"houston, georgia",county
"irwin, georgia",county
"jackson, georgia",county
"jasper, georgia",county
"jefferson, georgia",county
"jenkins, georgia",county
"johnson, georgia",county
"jones, georgia",county
"lamar, georgia",county
"lanier, georgia",county
"lee, georgia",county
"liberty, georgia",county
"lincoln, georgia",county
"long, georgia",county
"lowndes, georgia",county
"lumpkin, georgia",county
"macon, georgia",county
"marion, georgia",county
"mcduffie, georgia",county
"mcintosh, georgia",county
"meriwether, georgia",county
"miller, georgia",county
"monroe, georgia",county
"montgomery, georgia",county
"morgan, georgia",county
"murray, georgia",county
"muscogee, georgia",county
"newton, georgia",county
"oconee, georgia",county
"oglethorpe, georgia",county
"peach, georgia",county
"pickens, georgia",county
"pierce, georgia",county
"pike, georgia",county
"polk, georgia",county
"putnam, georgia",county
"quitman, georgia",county
"rabun, georgia",county
"randolph, georgia",county
"richmond, georgia",county
"rockdale, georgia",county
"schley, georgia",county
"screven, georgia",county
"spalding, georgia",county
"stephens, georgia",county
"stewart, georgia",county
"sumter, georgia",county
"talbot, georgia",county
"tattnall, georgia",county
"taylor, georgia",county
"telfair, georgia",county
"terrell, georgia",county
"thomas, georgia",county
"tift, georgia",county
"toombs, georgia",county
"towns, georgia",county
"troup, georgia",county
"turner, georgia",county
"twiggs, georgia",county
"union, georgia",county
"upson, georgia",county
"walker, georgia",county
"walton, georgia",county
"ware, georgia",county
"washington, georgia",county
"wayne, georgia",county
"webster, georgia",county
"wheeler, georgia",county
"white, georgia",county
"wilcox, georgia",county
"wilkes, georgia",county
"wilkinson, georgia",county
"worth, georgia",county
"hawaii, hawaii",county
"kalawao, hawaii",county
"kauai, hawaii",county
"maui, hawaii",county
"ada, idaho",county
"adams, idaho",county
"bannock, idaho",county
"bear lake, idaho",county
"benewah, idaho",county
"bingham, idaho",county
"blaine, idaho",county
"bonner, idaho",county
"boundary, idaho",county
"butte, idaho",county
"camas, idaho",county
"canyon, idaho",county
"caribou, idaho",county
"clark, idaho",county
"clearwater, idaho",county
"custer, idaho",county
"elmore, idaho",county
"franklin, idaho",county
"fremont, idaho",county
"gooding, idaho",county
"idaho, idaho",county
"jefferson, idaho",county
"jerome, idaho",county
"kootenai, idaho",county
"latah, idaho",county
"lewis, idaho",county
"lincoln, idaho",county
"madison, idaho",county
"minidoka, idaho",county
"oneida, idaho",county
"owyhee, idaho",county
"payette, idaho",county
"power, idaho",county
"shoshone, idaho",county
"teton, idaho",county
"valley, idaho",county
"washington, idaho",county
"adams, illinois",county
"alexander, illinois",county
"bond, illinois",county
"boone, illinois",county
"brown, illinois",county
"calhoun, illinois",county
"carroll, illinois",county
"cass, illinois",county
