identifier_id,ref_table
age_growth_or_decay_type_id,AgeGrowthOrDecayType
base_driver_id,DemandDrivers
currency_id,Currencies
definition_id,Definitions
demand_sector_id,DemandSectors
demand_stock_unit_type_id,DemandStockUnitTypes
demand_tech_unit_type_id,DemandTechUnitTypes
dispatch_constraint_id,DispatchConstraintTypes
efficiency_type_id,EfficiencyTypes
extrapolation_method_id,CleaningMethods
final_energy_from_id,FinalEnergy
final_energy_id,FinalEnergy
final_energy_to_id,FinalEnergy
geography_id,Geographies
geography_map_key_id,GeographyMapKeys
ghg_id,GreenhouseGases
ghg_type_id,GreenhouseGasEmissionsType
input_type_id,InputTypes
interpolation_method_id,CleaningMethods
other_index_1_id,OtherIndexes
other_index_2_id,OtherIndexes
shape_type_id,ShapesTypes
shape_unit_type_id,ShapesUnits
stock_decay_function_id,StockDecayFunctions
subsector_geography_id,Geographies
supply_cost_type_id,SupplyCostTypes
supply_node_id,SupplyNodes
supply_technology_id,SupplyTechs
supply_type_id,SupplyTypes
tradable_geography_id,Geographies
cost_method_id,ImportPrimaryCostMethod
