import_node,source,notes,geography,currency,currency_year_id,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,cost_method_id
Uranium Import,TEPPC Gen Cost Calculator,,us,USD,2013,mmBtu,linear_interpolation,exponential,0.02,1
Coal Import,AEO 2017,,us,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Coke Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Refined Fossil Diesel Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Refined Fossil Gasoline Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Refined Fossil Kerosene Product,AEO 2017,No prices available; used residual fuel oil as proxy,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Refined Fossil Jet Fuel Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Refined Fossil LPG Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Residual Fossil Fuel Oil Product,AEO 2017,,census division,USD,2016,mmBtu,linear_interpolation,linear_regression,,1
Ethanol Product - International,AEO 2017,,us,USD,2016,US_gee,linear_interpolation,linear_regression,,1
