name,geography,source,notes,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth
Electricity Distribution Grid,us,,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,
Electricity Transmission Grid,us,,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,
Gas Distribution Pipeline,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Gas Transmission Pipeline,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Uranium Import,us,,,Btu,Btu,linear_interpolation,nearest,
Coal Import,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Coke Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Refined Fossil Diesel Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Refined Fossil Gasoline Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Refined Fossil Kerosene Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Refined Fossil Jet Fuel Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Refined Fossil LPG Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Lubricants Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Petroleum Coke Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Other Petroleum Import,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Still Gas Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Residual Fossil Fuel Oil Product,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Coal Primary - Domestic,census region,,,gigajoule,gigajoule,linear_interpolation,nearest,
Natural Gas Primary - Domestic,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Oil Primary - Domestic,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Petroleum Refineries,us,,,Btu,Btu,linear_interpolation,nearest,
Liquid Hydrogen Truck Delivery,us,,,kWh,h2_kilogram,linear_interpolation,nearest,
Motor Gasoline End-Use Delivery,us,,,Btu,Btu,linear_interpolation,nearest,
Diesel End-Use Delivery,us,,,Btu,Btu,linear_interpolation,nearest,
Residual Fuel-Oil End-Use Delivery,us,,,Btu,Btu,linear_interpolation,nearest,
Coal - End-Use Delivery,us,,efficiency not included in this subsector; assumed to be included in final energy demand,Btu,Btu,linear_interpolation,nearest,
Coal  - Rail Delivery,us,,efficiency of rail coal delivery; based on historical average distance of delivered coal,mmBtu,mmBtu,linear_interpolation,nearest,
Anaerobic Digesters - Manure,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
Petrochemical Feedstocks,us,,,gigajoule,gigajoule,linear_interpolation,nearest,
