supply_node,geography,other_index_1,mass_unit,denominator_unit,interpolation_method,extrapolation_method,extrapolation_growth,source,notes
Power-to-Gas Production Facilities,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Coke Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Refined Fossil Diesel Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Refined Fossil Gasoline Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Refined Fossil Kerosene Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Refined Fossil Jet Fuel Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Refined Fossil LPG Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,unspecified lpg
Lubricants Product,us,,metric_ton,teraBtu,linear_interpolation,nearest,,AEO Fuel Emissions Factors,based on full combustion
Petroleum Coke Product,us,,metric_ton,teraBtu,linear_interpolation,nearest,,AEO Fuel Emissions Factor,based on full combustion
Other Petroleum Import,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,used diesel fuel as proxy
Still Gas Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Residual Fossil Fuel Oil Product,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
Coal Primary - Domestic,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass Primary - Herbaceous,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Natural Gas Primary - Domestic,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass Primary - Domestic Pulping Liquors,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Oil Primary - Domestic,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Oil Primary - International,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass Primary - MSW/Manure,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass - Wood,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass Primary - Domestic Lipid,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Biomass Primary - Domestic Corn,us,,kilogram,mmBtu,linear_interpolation,nearest,,,
Natural Gas - International,us,,kilogram,mmBtu,linear_interpolation,nearest,,,http://www.eia.gov/forecasts/aeo/assumptions/pdf/0554(2013).pdf
Ethanol Product - International,us,,kilogram,mmBtu,linear_interpolation,nearest,,EPA Fuel Emissions Factors,
