parent,gau,oth_1,year,value,id
Reference LNG Exports,pacific,,2025,0.03,1
Reference LNG Exports,pacific,,2030,0.03,3
Reference LNG Exports,pacific,,2029,0.03,4
Reference LNG Exports,pacific,,2015,0.03,5
Reference LNG Exports,pacific,,2016,0.03,6
Reference LNG Exports,pacific,,2017,0.03,7
Reference LNG Exports,pacific,,2018,0.03,8
Reference LNG Exports,pacific,,2019,0.03,9
Reference LNG Exports,pacific,,2020,0.03,10
Reference LNG Exports,pacific,,2021,0.03,11
Reference LNG Exports,pacific,,2022,0.03,12
Reference LNG Exports,pacific,,2023,0.03,13
Reference LNG Exports,pacific,,2024,0.03,14
Reference LNG Exports,pacific,,2026,0.03,16
Reference LNG Exports,pacific,,2027,0.03,17
Reference LNG Exports,mountain,,2015,0.0,18
Reference LNG Exports,west south central,,2015,0.0,19
Reference LNG Exports,east south central,,2015,0.0,20
Reference LNG Exports,south atlantic,,2015,0.0,21
Reference LNG Exports,west north central,,2015,0.0,22
Reference LNG Exports,east north central,,2015,0.0,23
Reference LNG Exports,middle atlantic,,2015,0.0,24
Reference LNG Exports,pacific,,2028,0.03,25
Reference LNG Exports,new england,,2015,0.0,26
Reference LNG Exports,pacific,,2050,0.0,27
