supply_node,geography,interpolation_method,extrapolation_method,extrapolation_growth
Nuclear Power Plants,us,linear_interpolation,nearest,
Combined-Cycle Gas Turbines,us,linear_interpolation,nearest,
Coal Power Plants,us,linear_interpolation,nearest,
Hydrogen Gas Reformation Central Station,us,linear_interpolation,nearest,
Renewable Diesel Production Facilities,us,linear_interpolation,nearest,
Biomass Gasification Facilities,us,linear_interpolation,nearest,
Renewable Jet-Fuel Production Facilities,us,linear_interpolation,nearest,
Bulk Electricity Storage,us,linear_interpolation,nearest,
Anaerobic Digesters - Lignocellulosic ,us,linear_interpolation,nearest,
Fossil Steam Turbines,us,linear_interpolation,nearest,
Biomass Power Plants,us,linear_interpolation,nearest,
Solar Thermal Power Plants,us,linear_interpolation,nearest,
Coal Power Plants with CCS,us,linear_interpolation,nearest,
Renewable Diesel Production Facilities w/CCS,us,linear_interpolation,nearest,
Biomass Gasification Facilities w/CCS,us,linear_interpolation,nearest,
Distributed Storage,us,linear_interpolation,nearest,
