supply_node_id,gau,demand_sector,supply_technology,vintage,value,id
24,us,,Fischer-Tropsch bio-diesel plant,2015,1.0,74
29,us,,thermal biomass gasifier,2015,1.0,75
30,us,,Hydroprocessed Renewable Oil  Plant,2015,1.0,76
89,us,,lignocellulosic anaerobic digester,2015,1.0,77
23,us,,H2 Natural Gas Reformation ,2015,1.0,81
97,us,,solar thermal without energy storage power plant,2015,1.0,82
115,us,,coal steam turbine power plant with CCS,2015,1.0,83
124,us,,Fischer-Tropsch bio-diesel plant w/ccs,2015,1.0,84
129,us,,thermal biomass gasifier w/ccs,2015,1.0,85
13,us,,nuclear power plant,2015,1.0,86
15,us,,pulverized coal power plant,2015,1.0,87
61,us,,pumped hydro storage,2015,1.0,90
14,us,,gas combined cycle power plant,2015,1.0,91
92,us,,biomass power plant,2015,0.66,92
92,us,,landfill gas to electricity power plant,2015,0.34,93
91,us,,gas steam turbine power plant,2015,1.0,94
62,us,,4 - hour distributed battery storage,2015,1.0,97
