parent,gau,demand_sector,vintage,value,id,resource_bin,oth_1
Coal to Gas CC Cogen,us,,2015,0.9,1,,
Oil Steam to Gas CC Cogen,us,,2015,0.9,2,,
Oil CT to Gas CT Cogen,us,,2015,0.9,3,,
Diesel Steam to Gas CC ,us,,2015,0.75,4,,
Coal to Gas CC Cogen,us,,2014,0.0,31,,
Oil Steam to Gas CC Cogen,us,,2014,0.0,32,,
Oil CT to Gas CT Cogen,us,,2014,0.0,33,,
Diesel Steam to Gas CC ,us,,2014,0.0,34,,
CHP Retirement - Replaced with Gas Boilers,california,,2018,1.0,37,,
CHP Retirement - Replaced with Gas Boilers,california,,2017,0.0,38,,
CHP Retirement - Replaced with Gas Boilers,us,,2018,0.0,39,,
CHP Retirement - Replaced with Gas Boilers,us,,2017,0.0,40,,
