parent,gau,oth_1,demand_sector,year,value,id,resource_bin
High Nuclear  Nuclear Power Plants,new england,,,2016,4653.481056,8651,
High Nuclear  Nuclear Power Plants,new england,,,2050,4650.0,8652,
High Nuclear  Nuclear Power Plants,middle atlantic,,,2016,16290.0,8653,
High Nuclear  Nuclear Power Plants,middle atlantic,,,2050,66500.0,8654,
High Nuclear  Nuclear Power Plants,east north central,,,2016,17830.0,8655,
High Nuclear  Nuclear Power Plants,east north central,,,2050,17800.0,8656,
High Nuclear  Nuclear Power Plants,west north central,,,2016,5770.968772,8657,
High Nuclear  Nuclear Power Plants,west north central,,,2050,5770.0,8658,
High Nuclear  Nuclear Power Plants,south atlantic,,,2016,30640.0,8659,
High Nuclear  Nuclear Power Plants,south atlantic,,,2050,123000.0,8660,
High Nuclear  Nuclear Power Plants,east south central,,,2016,11130.0,8661,
High Nuclear  Nuclear Power Plants,east south central,,,2050,44200.0,8662,
High Nuclear  Nuclear Power Plants,west south central,,,2016,10170.0,8663,
High Nuclear  Nuclear Power Plants,west south central,,,2050,41000.0,8664,
High Nuclear  Nuclear Power Plants,mountain,,,2016,4084.683321,8665,
High Nuclear  Nuclear Power Plants,mountain,,,2050,4080.0,8666,
High Nuclear  Nuclear Power Plants,pacific,,,2016,5215.921682,8667,
High Nuclear  Nuclear Power Plants,pacific,,,2050,5190.0,8668,
Mitigation Case Pumped Storage,SRSO,,,2016,1862.203,8669,
Mitigation Case Pumped Storage,SRSO,,,2030,3892.203,8670,
Mitigation Case Pumped Storage,SRTV,,,2016,1733.3,8671,
Mitigation Case Pumped Storage,SRTV,,,2030,1733.3,8672,
Mitigation Case Pumped Storage,AZNM,,,2016,216.3,8673,
Mitigation Case Pumped Storage,AZNM,,,2030,2366.3,8674,
Mitigation Case Pumped Storage,NWPP,,,2016,314.0,8675,
Mitigation Case Pumped Storage,NWPP,,,2030,7457.0,8676,
Mitigation Case Pumped Storage,RMPA,,,2016,562.5,8677,
Mitigation Case Pumped Storage,RMPA,,,2030,562.5,8678,
Mitigation Case Pumped Storage,CAMX,,,2016,3863.6,8679,
Mitigation Case Pumped Storage,CAMX,,,2030,11154.6,8680,
Mitigation Case Pumped Storage,SPSO,,,2016,446.0,8681,
Mitigation Case Pumped Storage,SPSO,,,2030,2146.0,8682,
Mitigation Case Pumped Storage,SRMV,,,2016,28.0,8683,
Mitigation Case Pumped Storage,SRMV,,,2030,28.0,8684,
Mitigation Case Pumped Storage,NEWE,,,2016,1753.4,8685,
Mitigation Case Pumped Storage,NEWE,,,2030,1753.4,8686,
Mitigation Case Pumped Storage,NYCW,,,2016,0.0,8687,
Mitigation Case Pumped Storage,NYCW,,,2030,0.0,8688,
Mitigation Case Pumped Storage,RFCE,,,2016,1921.0,8689,
Mitigation Case Pumped Storage,RFCE,,,2030,2171.0,8690,
Mitigation Case Pumped Storage,SRVC,,,2016,5719.0,8691,
Mitigation Case Pumped Storage,SRVC,,,2030,5719.0,8692,
Mitigation Case Pumped Storage,FRCC,,,2016,0.0,8693,
Mitigation Case Pumped Storage,FRCC,,,2030,0.0,8694,
Mitigation Case Pumped Storage,MROE,,,2016,0.0,8695,
Mitigation Case Pumped Storage,MROE,,,2030,0.0,8696,
Mitigation Case Pumped Storage,MROW,,,2016,0.0,8697,
Mitigation Case Pumped Storage,MROW,,,2030,800.0,8698,
Mitigation Case Pumped Storage,RFCW,,,2016,238.0,8699,
Mitigation Case Pumped Storage,RFCW,,,2030,1738.0,8700,
Mitigation Case Pumped Storage,SRMW,,,2016,440.0,8701,
Mitigation Case Pumped Storage,SRMW,,,2030,440.0,8702,
Mitigation Case Pumped Storage,SPNO,,,2016,0.0,8703,
Mitigation Case Pumped Storage,SPNO,,,2030,0.0,8704,
Mitigation Case Pumped Storage,RFCM,,,2016,1871.0,8705,
Mitigation Case Pumped Storage,RFCM,,,2030,1871.0,8706,
Mitigation Case Pumped Storage,NYUP,,,2016,1400.0,8707,
Mitigation Case Pumped Storage,NYUP,,,2030,1880.0,8708,
Mitigation Case Pumped Storage,ERCT,,,2016,0.0,8709,
Mitigation Case Pumped Storage,ERCT,,,2030,0.0,8710,
Mitigation Case Pumped Storage,NYLI,,,2016,0.0,8711,
Mitigation Case Pumped Storage,NYLI,,,2030,0.0,8712,
Mitigation CHP,new england,,,2016,4.396065,8713,
Mitigation CHP,middle atlantic,,,2016,3.809923,8714,
Mitigation CHP,east north central,,,2016,10.843627,8715,
Mitigation CHP,west north central,,,2016,6.154491,8716,
Mitigation CHP,south atlantic,,,2016,17.291189,8717,
Mitigation CHP,east south central,,,2016,8.499059,8718,
Mitigation CHP,west south central,,,2016,18.756544,8719,
Mitigation CHP,mountain,,,2016,2.051497,8720,
Mitigation CHP,pacific,,,2016,8.205988,8721,
AEO Reference Existing CHP,alabama,,,2015,0.0,8722,
AEO Reference Existing CHP,alaska,,,2015,143.9,8723,
AEO Reference Existing CHP,california,,,2015,281.9,8724,
AEO Reference Existing CHP,colorado,,,2015,14.8,8725,
AEO Reference Existing CHP,delaware,,,2015,0.0,8726,
AEO Reference Existing CHP,florida,,,2015,395.7,8727,
AEO Reference Existing CHP,georgia,,,2015,419.9,8728,
AEO Reference Existing CHP,idaho,,,2015,85.1,8729,
AEO Reference Existing CHP,illinois,,,2015,2482.4,8730,
AEO Reference Existing CHP,indiana,,,2015,141.0,8731,
AEO Reference Existing CHP,iowa,,,2015,2808.3,8732,
AEO Reference Existing CHP,maryland,,,2015,296.8,8733,
AEO Reference Existing CHP,massachusetts,,,2015,17.3,8734,
AEO Reference Existing CHP,michigan,,,2015,200.8,8735,
AEO Reference Existing CHP,minnesota,,,2015,681.1,8736,
AEO Reference Existing CHP,missouri,,,2015,379.8,8737,
AEO Reference Existing CHP,montana,,,2015,19.8,8738,
AEO Reference Existing CHP,nebraska,,,2015,340.8,8739,
AEO Reference Existing CHP,new york,,,2015,642.5,8740,
AEO Reference Existing CHP,north carolina,,,2015,401.6,8741,
AEO Reference Existing CHP,north dakota,,,2015,95.5,8742,
AEO Reference Existing CHP,ohio,,,2015,163.2,8743,
AEO Reference Existing CHP,oklahoma,,,2015,355.1,8744,
AEO Reference Existing CHP,pennsylvania,,,2015,704.8,8745,
AEO Reference Existing CHP,south carolina,,,2015,279.4,8746,
AEO Reference Existing CHP,tennessee,,,2015,922.9,8747,
AEO Reference Existing CHP,utah,,,2015,865.5,8748,
AEO Reference Existing CHP,virginia,,,2015,470.4,8749,
AEO Reference Existing CHP,washington,,,2015,0.0,8750,
AEO Reference Existing CHP,west virginia,,,2015,608.3,8751,
AEO Reference Existing CHP,wisconsin,,,2015,918.0,8752,
AEO Reference Existing CHP,wyoming,,,2015,358.6,8753,
AEO Reference Existing CHP,georgia,,,2015,541.4,8754,
AEO Reference Existing CHP,iowa,,,2015,206.8,8755,
AEO Reference Existing CHP,louisiana,,,2015,387.7,8756,
AEO Reference Existing CHP,michigan,,,2015,305.0,8757,
AEO Reference Existing CHP,new jersey,,,2015,74.9,8758,
AEO Reference Existing CHP,ohio,,,2015,38.8,8759,
AEO Reference Existing CHP,texas,,,2015,68.5,8760,
AEO Reference Existing CHP,alabama,,,2015,45.2,8761,
AEO Reference Existing CHP,arizona,,,2015,16.0,8762,
AEO Reference Existing CHP,california,,,2015,727.4,8763,
AEO Reference Existing CHP,colorado,,,2015,21.1,8764,
AEO Reference Existing CHP,connecticut,,,2015,30.9,8765,
