name,supply_node,source,additional_description,stock_decay_function,book_life,mean_lifetime,lifetime_variance,min_lifetime,max_lifetime,discharge_duration,cost_of_capital,shape,max_lag_hours,max_lead_hours,thermal_capacity_multiplier
Onshore wind power plant,Onshore Wind,http://bv.com/docs/reports-studies/nrel-cost-report.pdf%E2%80%8E,,weibull,20,25.0,6.0,,,,0.1,,,,1.0
offshore wind power plant,Offshore Wind,,,weibull,20,25.0,6.0,,,,0.1,,,,1.0
pulverized coal power plant,Coal Power Plants,http://bv.com/docs/reports-studies/nrel-cost-report.pdf%E2%80%8E,,weibull,40,60.0,5.0,,,,0.1,,,,1.0
central hydrogen grid electrolysis,Hydrogen Electrolysis - Central Station,http://www.hydrogen.energy.gov/h2a_production_archive.html,alkaline electrolysis,weibull,20,40.0,10.0,,,,0.1,,,,1.0
central solar thermo hydrogen production,Solar Thermal Hydrogen Production,http://www.hydrogen.energy.gov/h2a_production_archive.html,Solar Thermo-Chemical Hydrogen (Ferrite Cycle,weibull,20,40.0,10.0,,,,0.1,,,,1.0
pipeline gas compression and fueling station,Gas Compression and Fueling Stations,http://www.afdc.energy.gov/uploads/publication/cng_infrastructure_costs.pdf,Large-Station,weibull,20,30.0,10.0,10.0,,,0.1,,,,1.0
pipeline gas LNG fueling station,Liquefied Gas Fueling Station,http://louisianacleanfuels.org/images/downloads/Reports/lng_infrastructure.pdf,"35,000 Galllon Storage Capacity",weibull,15,15.0,5.0,,,,0.1,,,,1.0
purpose-built liquefiers,Pipeline Gas Liquefaction Facilities,http://louisianacleanfuels.org/images/downloads/Reports/lng_infrastructure.pdf,100000 GPD,weibull,20,20.0,5.0,,,,0.1,,,,1.0
hydrogen fueling station,Hydrogen Fueling Stations,http://www.nrel.gov/docs/fy13osti/56412.pdf; http://www.hydrogen.energy.gov/h2a_delivery.html,1000 kg-day liquid refueling station,weibull,15,20.0,5.0,,,,0.1,,,,1.0
thermal biomass gasifier,Biomass Gasification Facilities,http://www.researchgate.net/publication/222521187_Thermo-economic_process_model_for_thermochemical_production_of_Synthetic_Natural_Gas_(SNG)_from_lignocellulosic_biomass,Direct gasification,weibull,15,20.0,5.0,,,,0.1,,,,1.0
lignocellulosic anaerobic digester,Anaerobic Digesters - Lignocellulosic ,http://www.researchgate.net/publication/256609810_Techno-economical_study_of_biogas_production_improved_by_steam_explosion_pretreatment,"200,000 tons/year raw material",weibull,15,20.0,5.0,,,,0.1,,,,1.0
Fischer-Tropsch bio-diesel plant,Renewable Diesel Production Facilities,http://www.nrel.gov/docs/fy11osti/46587.pdf,41.7 MM GGE/yr ; High Temperature,weibull,20,20.0,5.0,,,,0.1,,,,1.0
