supply_tech,geography,reference_tech_id,definition,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay
Onshore wind power plant,census division,,absolute,linear_interpolation,nearest,,,
offshore wind power plant,census division,,absolute,linear_interpolation,nearest,,,
pulverized coal power plant,us,,absolute,linear_interpolation,nearest,,,
central hydrogen grid electrolysis,us,,absolute,linear_interpolation,nearest,,,
nuclear power plant,us,,absolute,linear_interpolation,nearest,,,
large hydro power plant,state,,absolute,linear_interpolation,decay_towards_linear_regression,,,
run of river hydro power plant,state,,absolute,linear_interpolation,decay_towards_linear_regression,,,
gas combined cycle power plant,us,,absolute,linear_interpolation,nearest,,,
gas combustion turbine power plant,us,,absolute,linear_interpolation,nearest,,,
gas steam turbine power plant,us,,absolute,linear_interpolation,nearest,,,
gas combined cycle power plant with CCS,us,,absolute,linear_interpolation,nearest,,,
coal steam turbine power plant with CCS,us,,absolute,linear_interpolation,nearest,,,
rooftop solar PV power plant,census division,,absolute,linear_interpolation,nearest,,,
distribution-sited solar PV power plant,census division,,absolute,linear_interpolation,nearest,,,
transmission-sited solar PV power plant,census division,,absolute,linear_interpolation,nearest,,,
geothermal power plant,us,,absolute,linear_interpolation,nearest,,,
biomass power plant,us,,absolute,linear_interpolation,nearest,,,
solar thermal without energy storage power plant,census division,,absolute,linear_interpolation,nearest,,,
coal IGCC power plant,us,,absolute,linear_interpolation,nearest,,,
distillate oil combustion turbine power plant,us,,absolute,linear_interpolation,nearest,,,
landfill gas to electricity power plant,us,,absolute,linear_interpolation,nearest,,,
municipal solid waste power plant,us,,absolute,linear_interpolation,nearest,,,
coal steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
petroleum coke steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
gas combined cycle cogen power plant,us,,absolute,linear_interpolation,nearest,,,
gas steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
residual oil steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
fossil waste steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
biomass cogen power plant,us,,absolute,linear_interpolation,nearest,,,
landfill gas cogen power plant,us,,absolute,linear_interpolation,nearest,,,
municipal solid waste cogen power plant,us,,absolute,linear_interpolation,nearest,,,
gas combustion turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
distillate oil combustion turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
distllate oil steam turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
residual oil combustion turbine power plant,us,,absolute,linear_interpolation,nearest,,,
residual oil combustion turbine cogen power plant,us,,absolute,linear_interpolation,nearest,,,
coal steam turbine IPP cogen power plant,us,,absolute,linear_interpolation,nearest,,,
gas combined cycle IPP cogen power plant,us,,absolute,linear_interpolation,nearest,,,
gas combustion turbine IPP cogen power plant,us,,absolute,linear_interpolation,nearest,,,
residual oil combustion turbine IPP cogen power plant,us,,absolute,linear_interpolation,nearest,,,
distillate oil combustion turbine IPP cogen power plant,us,,absolute,linear_interpolation,nearest,,,
Advanced Nuclear Plant,us,,absolute,linear_interpolation,nearest,,,
power-to-gas methanation,us,,absolute,linear_interpolation,nearest,,,
gas cogen composite power plant,us,,absolute,linear_interpolation,nearest,,,
H2 Natural Gas Reformation ,us,,absolute,linear_interpolation,nearest,,,
H2 Natural Gas Reformation w/ccs,us,,absolute,linear_interpolation,nearest,,,
Relicensed Nuclear Power Plants,us,25.0,relative,linear_interpolation,nearest,,,
coal steam turbine cogen power plant w/ccs,us,51.0,relative,,,,,
petroleum coke steam turbine cogen power plant w/ccs,us,52.0,relative,,,,,
gas combined cycle cogen power plant w/ccs,us,53.0,relative,,,,,
gas steam turbine cogen power plant w/ccs,us,54.0,relative,,,,,
residual oil steam turbine cogen power plant w/ccs,us,55.0,relative,,,,,
fossil waste steam turbine cogen power plant w/ccs,us,56.0,relative,,,,,
biomass cogen power plant w/ccs,us,57.0,relative,,,,,
landfill gas cogen power plant w/ccs,us,58.0,relative,,,,,
municipal solid waste cogen power plant w/ccs,us,59.0,relative,,,,,
gas combustion turbine cogen power plant w/ccs,us,61.0,relative,,,,,
distillate oil combustion turbine cogen power plant w/ccs,us,62.0,relative,,,,,
coal steam turbine IPP cogen power plant w/ccs,us,67.0,relative,,,,,
gas combined cycle IPP cogen power plant w/ccs,us,68.0,relative,,,,,
gas combustion turbine IPP cogen power plant w/ccs,us,69.0,relative,,,,,
residual oil combustion turbine IPP cogen power plant w/ccs,us,71.0,relative,,,,,
distillate oil combustion turbine IPP cogen power plant w/ccs,us,72.0,relative,,,,,
Wave Power Plant,us,,absolute,linear_interpolation,nearest,,,
distillate oil steam turbine power plant,us,,absolute,linear_interpolation,nearest,,,
fossil waste steam turbine power plant,us,,absolute,linear_interpolation,nearest,,,
HQ hydro power plants,us,,absolute,linear_interpolation,decay_towards_linear_regression,,,
petroleum coke steam turbine power plant,us,,absolute,linear_interpolation,nearest,,,
residual oil steam turbine power plant,us,,absolute,linear_interpolation,nearest,,,
