supply_tech_id,gau,demand_sector,resource_bin,vintage,value,id,sensitivity
4,us,,,2025,783.24,1,
4,us,,,2010,1293.0,3,
5,us,,,2030,4013.0,4,
6,us,,,2010,600.0,5,
7,us,,,2010,300.0,6,
8,us,,,2010,320.0,7,
9,us,,,2014,11000.0,8,
9,us,,,2012,12250.0,9,
9,us,,,2011,17500.0,10,
9,us,,,2025,3200.0,11,
9,us,,,2018,4200.0,12,
9,us,,,2015,8250.0,13,
10,us,,,2010,890000.0,14,
11,us,,,2013,907700.0,15,
12,us,,,2007,14.532,16,
13,us,,,2010,3.43,17,
14,us,,,2009,1141588.785,18,
15,us,,,2015,4.194,19,
16,us,,,2010,10.2,20,
17,us,,,2010,7.0,21,
21,us,,,2010,5.7,22,
66,us,,,2015,18500.0,23,
1,us,,,1983,5134.62,24,
1,us,,,1985,3282.78,25,
1,us,,,1986,3364.75,26,
1,us,,,1987,2064.46,27,
1,us,,,1989,2642.24,28,
1,us,,,1990,2989.54,29,
1,us,,,1994,1849.54,30,
1,us,,,1995,1905.73,31,
1,us,,,1996,1557.45,32,
1,us,,,1997,2523.83,33,
1,us,,,1998,1436.67,34,
1,us,,,1999,1686.64,35,
1,us,,,2000,1698.39,36,
1,us,,,2001,1333.34,37,
1,us,,,2002,1558.99,38,
1,us,,,2003,1415.7,39,
1,us,,,2004,1304.04,40,
1,us,,,2005,1530.06,41,
1,us,,,2006,1707.9,42,
1,us,,,2007,1879.66,43,
1,us,,,2008,2101.03,44,
1,us,,,2009,2297.72,45,
1,us,,,2010,2294.15,46,
1,us,,,2011,2199.16,47,
1,us,,,2012,1987.43,48,
1,us,,,2013,1614.61,49,
1,us,,,2014,1707.07,50,
1,us,,,2015,1822.51,51,
1,us,,,2016,1803.48,52,
1,us,,,2017,1786.87,53,
1,us,,,2018,1772.57,54,
1,us,,,2019,1760.45,55,
1,us,,,2020,1750.46,56,
1,us,,,2021,1739.96,57,
1,us,,,2022,1731.4,58,
1,us,,,2023,1724.65,59,
1,us,,,2024,1718.94,60,
1,us,,,2025,1714.83,61,
1,us,,,2026,1710.19,62,
1,us,,,2027,1706.93,63,
1,us,,,2028,1704.92,64,
1,us,,,2029,1704.04,65,
1,us,,,2030,1704.2,66,
1,us,,,2031,1704.74,67,
1,us,,,2032,1701.78,68,
1,us,,,2033,1699.57,69,
1,us,,,2034,1698.0,70,
1,us,,,2035,1696.98,71,
1,us,,,2036,1695.15,72,
1,us,,,2037,1693.69,73,
1,us,,,2038,1692.5,74,
1,us,,,2039,1691.51,75,
1,us,,,2040,1690.64,76,
1,us,,,2041,1688.82,77,
1,us,,,2042,1686.99,78,
1,us,,,2043,1685.1,79,
1,us,,,2044,1683.07,80,
1,us,,,2045,1680.87,81,
1,us,,,2046,1678.45,82,
1,us,,,2047,1675.77,83,
1,us,,,2048,1672.8,84,
1,us,,,2049,1669.52,85,
1,us,,,2050,1665.9,86,
2,us,,,2014,5601.25,87,
2,us,,,2015,5482.06,88,
2,us,,,2016,5362.55,89,
2,us,,,2017,5216.47,90,
2,us,,,2018,5070.4,91,
2,us,,,2019,4924.32,92,
2,us,,,2020,4778.25,93,
2,us,,,2021,4595.29,94,
2,us,,,2022,4412.33,95,
2,us,,,2023,4229.37,96,
2,us,,,2024,4205.84,97,
2,us,,,2025,4182.32,98,
2,us,,,2026,4158.8,99,
2,us,,,2027,4135.27,100,
2,us,,,2028,4111.75,101,
2,us,,,2029,4088.23,102,
2,us,,,2030,4064.7,103,
2,us,,,2031,4053.72,104,
2,us,,,2032,4042.75,105,
2,us,,,2033,4031.77,106,
2,us,,,2034,4020.79,107,
2,us,,,2035,4009.81,108,
2,us,,,2036,3998.84,109,
2,us,,,2037,3987.86,110,
2,us,,,2038,3976.88,111,
2,us,,,2039,3965.9,112,
2,us,,,2040,3954.93,113,
2,us,,,2041,3942.45,114,
2,us,,,2042,3929.97,115,
2,us,,,2043,3917.49,116,
2,us,,,2044,3905.02,117,
2,us,,,2045,3892.54,118,
2,us,,,2046,3880.06,119,
2,us,,,2047,3867.58,120,
2,us,,,2048,3855.11,121,
2,us,,,2049,3842.63,122,
2,us,,,2050,3830.15,123,
3,us,,,1971,921.99,124,
3,us,,,1978,1553.53,125,
3,us,,,1995,2502.07,126,
3,us,,,2014,3440.45,127,
3,us,,,2015,3438.75,128,
3,us,,,2016,3430.19,129,
3,us,,,2017,3449.14,130,
3,us,,,2018,3416.56,131,
3,us,,,2019,3410.81,132,
3,us,,,2020,3404.81,133,
3,us,,,2021,3395.37,134,
3,us,,,2022,3388.8,135,
3,us,,,2023,3382.24,136,
3,us,,,2024,3371.88,137,
3,us,,,2025,3364.46,138,
3,us,,,2026,3356.27,139,
3,us,,,2027,3349.11,140,
3,us,,,2028,3343.32,141,
3,us,,,2029,3335.6,142,
3,us,,,2030,3328.51,143,
3,us,,,2031,3320.42,144,
3,us,,,2032,3314.6,145,
3,us,,,2033,3304.88,146,
3,us,,,2034,3296.33,147,
3,us,,,2035,3289.25,148,
3,us,,,2036,3283.02,149,
3,us,,,2037,3273.9,150,
3,us,,,2038,3268.27,151,
3,us,,,2039,3259.96,152,
3,us,,,2040,3252.85,153,
3,us,,,2041,3245.28,154,
3,us,,,2042,3237.71,155,
3,us,,,2043,3230.15,156,
3,us,,,2044,3222.58,157,
3,us,,,2045,3215.02,158,
3,us,,,2046,3207.45,159,
3,us,,,2047,3199.88,160,
3,us,,,2048,3192.32,161,
3,us,,,2049,3184.75,162,
3,us,,,2050,3177.18,163,
25,us,,,1971,948.64,164,
25,us,,,1978,2363.61,165,
26,us,,,2015,2754.13,166,
