supply_tech,geography,definition,reference_tech_id,input_unit,output_unit,interpolation_method,extrapolation_method,extrapolation_growth,age_growth_or_decay_type,age_growth_or_decay,source,notes
Onshore wind power plant,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
offshore wind power plant,us,absolute,,Btu,Btu,linear_interpolation,nearest,,,,,
pulverized coal power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
central hydrogen grid electrolysis,us,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,
central solar thermo hydrogen production,us,absolute,,kilowatt_hour,h2_kilogram,linear_interpolation,nearest,,,,,
pipeline gas compression and fueling station,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,
pipeline gas LNG fueling station,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,
purpose-built liquefiers,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,GREET,
hydrogen fueling station,us,absolute,,kWh,h2_kilogram,linear_interpolation,nearest,,,,,
thermal biomass gasifier,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,
lignocellulosic anaerobic digester,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,assumes remaining lignin converted to electricity at 33% efficiency
Fischer-Tropsch bio-diesel plant,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,
Fast-pyrolysis bio-diesel plant,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores produced bio-char
Hydrothermal liquefaction and hydrotreating,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Hydroprocessed Renewable Oil  Plant,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,ignores naptha byproduct
Industrial Coal Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Residual Fuel Oil Oil Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Pulping Liquors Oil Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Distillate Fuel Oil Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Woody Biomass Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Pipeline Gas Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Petroleum Coke Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial LPG Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
Industrial Other Petroleum Boiler,us,absolute,,mmBtu,mmBtu,linear_interpolation,nearest,,,,,http://www.etsap.org/E-techDS/PDF/I01-ind_boilers-GS-AD-gct1.pdf
nuclear power plant,us,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
large hydro power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
run of river hydro power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
gas combined cycle power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
gas combustion turbine power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
gas steam turbine power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
gas combined cycle power plant with CCS,us,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
coal steam turbine power plant with CCS,us,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
rooftop solar PV power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
distribution-sited solar PV power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
transmission-sited solar PV power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
geothermal power plant,us,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
biomass power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
solar thermal without energy storage power plant,us,absolute,,kilowatt_hour,kilowatt_hour,linear_interpolation,nearest,,,,,
coal IGCC power plant,state,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
coal IGCC with CCS power plant,us,absolute,,Btu,kilowatt_hour,linear_interpolation,nearest,,,,,
