supply_tech_id,gau,demand_sector,resource_bin,vintage,value,id,sensitivity
1,us,,,2014,51.27,1,
1,us,,,2015,51.14,2,
1,us,,,2016,51.0,3,
1,us,,,2017,50.87,4,
1,us,,,2018,50.73,5,
1,us,,,2019,50.59,6,
1,us,,,2020,50.46,7,
1,us,,,2021,50.32,8,
1,us,,,2022,50.19,9,
1,us,,,2023,50.05,10,
1,us,,,2024,49.92,11,
1,us,,,2025,49.78,12,
1,us,,,2026,49.64,13,
1,us,,,2027,49.51,14,
1,us,,,2028,49.37,15,
1,us,,,2029,49.24,16,
1,us,,,2030,49.1,17,
1,us,,,2031,48.97,18,
1,us,,,2032,48.83,19,
1,us,,,2033,48.7,20,
1,us,,,2034,48.56,21,
1,us,,,2035,48.42,22,
1,us,,,2036,48.29,23,
1,us,,,2037,48.15,24,
1,us,,,2038,48.02,25,
1,us,,,2039,47.88,26,
1,us,,,2040,47.75,27,
1,us,,,2041,47.61,28,
1,us,,,2042,47.47,29,
1,us,,,2043,47.34,30,
1,us,,,2044,47.2,31,
1,us,,,2045,47.07,32,
1,us,,,2046,46.93,33,
1,us,,,2047,46.8,34,
1,us,,,2048,46.66,35,
1,us,,,2049,46.52,36,
1,us,,,2050,46.39,37,
2,us,,,2014,134.01,38,
2,us,,,2015,132.67,39,
2,us,,,2016,131.33,40,
2,us,,,2017,127.65,41,
2,us,,,2018,123.96,42,
2,us,,,2019,120.28,43,
2,us,,,2020,116.59,44,
2,us,,,2021,113.91,45,
2,us,,,2022,111.23,46,
2,us,,,2023,108.55,47,
2,us,,,2024,107.79,48,
2,us,,,2025,107.02,49,
2,us,,,2026,106.25,50,
2,us,,,2027,105.49,51,
2,us,,,2028,104.72,52,
2,us,,,2029,103.96,53,
2,us,,,2030,103.19,54,
2,us,,,2031,103.06,55,
2,us,,,2032,102.92,56,
2,us,,,2033,102.79,57,
2,us,,,2034,102.66,58,
2,us,,,2035,102.52,59,
2,us,,,2036,102.39,60,
2,us,,,2037,102.25,61,
2,us,,,2038,102.12,62,
2,us,,,2039,101.99,63,
2,us,,,2040,101.85,64,
2,us,,,2041,101.71,65,
2,us,,,2042,101.56,66,
2,us,,,2043,101.41,67,
2,us,,,2044,101.27,68,
2,us,,,2045,101.12,69,
2,us,,,2046,100.98,70,
2,us,,,2047,100.83,71,
2,us,,,2048,100.68,72,
2,us,,,2049,100.54,73,
2,us,,,2050,100.39,74,
3,us,,,1995,20.49,75,
3,us,,,2014,31.66,76,
25,us,,,1995,81.82,77,
26,us,,,2015,15.15,78,
27,us,,,2014,84.06,79,
28,us,,,2014,14.49,80,
29,us,,,1995,6.28,81,
