supply_tech_id,gau,demand_sector,resource_bin,vintage,value,id,sensitivity
3,us,,,2010,215.0,1,
4,us,,,2010,368.18,3,
4,us,,,2025,222.48,4,
5,us,,,2030,1488.71,5,
6,us,,,2015,300.0,6,
1,new england,,1.0,2015,90510.18,11,
1,new england,,2.0,2015,237291.89,12,
1,new england,,3.0,2015,412823.06,13,
1,new england,,4.0,2015,566284.05,14,
1,new england,,5.0,2015,762915.96,15,
2,new england,,1.0,2015,144830.52,16,
2,new england,,2.0,2015,264090.9,17,
2,new england,,3.0,2015,373562.39,18,
2,new england,,4.0,2015,503040.56,19,
2,new england,,5.0,2015,702179.2,20,
35,new england,,1.0,2015,54034.99,21,
35,new england,,2.0,2015,91465.21,22,
35,new england,,3.0,2015,145048.51,23,
35,new england,,4.0,2015,269029.48,24,
35,new england,,5.0,2015,478754.28,25,
38,new england,,1.0,2015,0.0,26,
38,new england,,2.0,2015,0.0,27,
38,new england,,3.0,2015,0.0,28,
38,new england,,4.0,2015,0.0,29,
38,new england,,5.0,2015,0.0,30,
1,middle atlantic,,1.0,2015,67409.13,31,
1,middle atlantic,,2.0,2015,124237.98,32,
1,middle atlantic,,3.0,2015,196062.21,33,
1,middle atlantic,,4.0,2015,354507.48,34,
1,middle atlantic,,5.0,2015,471973.98,35,
2,middle atlantic,,1.0,2015,79816.01,36,
2,middle atlantic,,2.0,2015,168994.64,37,
2,middle atlantic,,3.0,2015,254540.04,38,
2,middle atlantic,,4.0,2015,358511.86,39,
2,middle atlantic,,5.0,2015,667608.65,40,
35,middle atlantic,,1.0,2015,57985.87,41,
35,middle atlantic,,2.0,2015,117907.14,42,
35,middle atlantic,,3.0,2015,241083.81,43,
35,middle atlantic,,4.0,2015,382893.68,44,
35,middle atlantic,,5.0,2015,565758.38,45,
38,middle atlantic,,1.0,2015,0.0,46,
38,middle atlantic,,2.0,2015,0.0,47,
38,middle atlantic,,3.0,2015,0.0,48,
38,middle atlantic,,4.0,2015,0.0,49,
38,middle atlantic,,5.0,2015,0.0,50,
1,east north central,,1.0,2015,55803.17,51,
1,east north central,,2.0,2015,165322.21,52,
1,east north central,,3.0,2015,323543.09,53,
1,east north central,,4.0,2015,428665.96,54,
1,east north central,,5.0,2015,679487.07,55,
2,east north central,,1.0,2015,97356.68,56,
2,east north central,,2.0,2015,233743.0,57,
2,east north central,,3.0,2015,461059.37,58,
2,east north central,,4.0,2015,612507.12,59,
2,east north central,,5.0,2015,803000.48,60,
35,east north central,,1.0,2015,46557.65,61,
35,east north central,,2.0,2015,79980.95,62,
35,east north central,,3.0,2015,151315.79,63,
35,east north central,,4.0,2015,284889.07,64,
35,east north central,,5.0,2015,428332.47,65,
38,east north central,,1.0,2015,0.0,66,
38,east north central,,2.0,2015,0.0,67,
38,east north central,,3.0,2015,0.0,68,
38,east north central,,4.0,2015,0.0,69,
38,east north central,,5.0,2015,0.0,70,
1,west north central,,1.0,2015,85595.94,71,
1,west north central,,2.0,2015,268825.53,72,
1,west north central,,3.0,2015,441672.8,73,
1,west north central,,4.0,2015,615144.04,74,
1,west north central,,5.0,2015,770727.39,75,
2,west north central,,1.0,2015,234831.64,76,
2,west north central,,2.0,2015,298262.34,77,
2,west north central,,3.0,2015,359556.84,78,
2,west north central,,4.0,2015,566606.7,79,
2,west north central,,5.0,2015,861110.21,80,
35,west north central,,1.0,2015,65259.26,81,
35,west north central,,2.0,2015,128261.15,82,
35,west north central,,3.0,2015,269482.9,83,
35,west north central,,4.0,2015,487624.69,84,
35,west north central,,5.0,2015,658274.08,85,
38,west north central,,1.0,2015,319167.77,86,
38,west north central,,2.0,2015,496684.67,87,
38,west north central,,3.0,2015,618210.06,88,
38,west north central,,4.0,2015,785062.27,89,
38,west north central,,5.0,2015,915638.65,90,
1,south atlantic,,1.0,2015,50036.74,91,
1,south atlantic,,2.0,2015,79450.41,92,
1,south atlantic,,3.0,2015,106010.12,93,
1,south atlantic,,4.0,2015,132885.48,94,
1,south atlantic,,5.0,2015,177369.71,95,
2,south atlantic,,1.0,2015,151950.0,96,
2,south atlantic,,2.0,2015,309504.18,97,
2,south atlantic,,3.0,2015,506487.5,98,
2,south atlantic,,4.0,2015,687673.52,99,
2,south atlantic,,5.0,2015,856368.95,100,
35,south atlantic,,1.0,2015,69511.01,101,
35,south atlantic,,2.0,2015,213333.01,102,
35,south atlantic,,3.0,2015,373927.3,103,
35,south atlantic,,4.0,2015,495721.44,104,
35,south atlantic,,5.0,2015,712687.55,105,
38,south atlantic,,1.0,2015,38109.65,106,
38,south atlantic,,2.0,2015,113134.15,107,
38,south atlantic,,3.0,2015,241910.46,108,
38,south atlantic,,4.0,2015,406555.72,109,
38,south atlantic,,5.0,2015,749361.29,110,
1,east south central,,1.0,2015,65907.27,111,
1,east south central,,2.0,2015,115461.03,112,
1,east south central,,3.0,2015,141110.63,113,
1,east south central,,4.0,2015,165060.45,114,
1,east south central,,5.0,2015,179174.38,115,
2,east south central,,1.0,2015,89970.69,116,
2,east south central,,2.0,2015,323062.83,117,
2,east south central,,3.0,2015,466687.79,118,
2,east south central,,4.0,2015,759135.02,119,
2,east south central,,5.0,2015,849652.3,120,
35,east south central,,1.0,2015,51741.72,121,
35,east south central,,2.0,2015,102543.13,122,
35,east south central,,3.0,2015,190596.14,123,
35,east south central,,4.0,2015,314758.79,124,
35,east south central,,5.0,2015,542528.32,125,
38,east south central,,1.0,2015,33898.23,126,
38,east south central,,2.0,2015,50949.51,127,
38,east south central,,3.0,2015,67871.75,128,
38,east south central,,4.0,2015,81610.75,129,
38,east south central,,5.0,2015,88054.62,130,
1,west south central,,1.0,2015,95083.02,131,
1,west south central,,2.0,2015,274527.51,132,
1,west south central,,3.0,2015,447201.57,133,
1,west south central,,4.0,2015,643173.3,134,
1,west south central,,5.0,2015,802323.98,135,
2,west south central,,1.0,2015,160220.58,136,
2,west south central,,2.0,2015,338802.92,137,
2,west south central,,3.0,2015,506535.35,138,
2,west south central,,4.0,2015,654220.18,139,
2,west south central,,5.0,2015,806745.75,140,
35,west south central,,1.0,2015,52504.02,141,
35,west south central,,2.0,2015,226495.3,142,
35,west south central,,3.0,2015,347125.15,143,
35,west south central,,4.0,2015,539298.7,144,
35,west south central,,5.0,2015,585112.18,145,
38,west south central,,1.0,2015,423693.45,146,
38,west south central,,2.0,2015,560564.38,147,
38,west south central,,3.0,2015,641976.12,148,
38,west south central,,4.0,2015,794268.27,149,
38,west south central,,5.0,2015,894680.67,150,
1,mountain,,1.0,2015,129531.37,151,
1,mountain,,2.0,2015,290311.27,152,
1,mountain,,3.0,2015,450369.9,153,
1,mountain,,4.0,2015,645520.58,154,
1,mountain,,5.0,2015,834060.39,155,
2,mountain,,1.0,2015,0.0,156,
2,mountain,,2.0,2015,0.0,157,
2,mountain,,3.0,2015,0.0,158,
2,mountain,,4.0,2015,0.0,159,
2,mountain,,5.0,2015,0.0,160,
35,mountain,,1.0,2015,81019.12,161,
35,mountain,,2.0,2015,284795.74,162,
35,mountain,,3.0,2015,406298.78,163,
35,mountain,,4.0,2015,729478.73,164,
35,mountain,,5.0,2015,946076.55,165,
38,mountain,,1.0,2015,100227.14,166,
38,mountain,,2.0,2015,343023.68,167,
38,mountain,,3.0,2015,559372.21,168,
38,mountain,,4.0,2015,717567.09,169,
38,mountain,,5.0,2015,775163.31,170,
1,pacific,,1.0,2015,88663.2,171,
1,pacific,,2.0,2015,177146.07,172,
1,pacific,,3.0,2015,279049.11,173,
1,pacific,,4.0,2015,434106.88,174,
1,pacific,,5.0,2015,637386.05,175,
2,pacific,,1.0,2015,47274.01,176,
2,pacific,,2.0,2015,92271.51,177,
2,pacific,,3.0,2015,140200.46,178,
2,pacific,,4.0,2015,190282.81,179,
2,pacific,,5.0,2015,273221.73,180,
35,pacific,,1.0,2015,85718.22,181,
35,pacific,,2.0,2015,220343.56,182,
35,pacific,,3.0,2015,322701.1,183,
35,pacific,,4.0,2015,518118.52,184,
35,pacific,,5.0,2015,773410.43,185,
38,pacific,,1.0,2015,183893.26,186,
38,pacific,,2.0,2015,421473.07,187,
38,pacific,,3.0,2015,429050.95,188,
38,pacific,,4.0,2015,564325.35,189,
38,pacific,,5.0,2015,605350.32,190,
110,us,,,2015,8.0,191,
111,us,,,2015,19.86,192,
112,us,,,2015,22.98,193,
113,us,,,2015,4.81,194,
114,us,,,2015,67.44,195,
115,us,,,2015,12.726,196,
151,us,,,2015,46.25,197,
152,us,,,2015,42.77,198,
153,us,,,2015,61.01,199,
154,us,,,2015,27.75,200,
155,us,,,2015,36.37,201,
156,us,,,2015,29.55,202,
157,us,,,2015,44.74,203,
158,us,,,2015,141.48,204,
159,us,,,2015,46.78,205,
161,us,,,2015,40.59,206,
162,us,,,2015,39.49,207,
167,us,,,2015,89.96,208,
168,us,,,2015,35.32,209,
169,us,,,2015,44.45,210,
170,us,,,2015,80.29,211,
171,us,,,2015,38.55,212,
172,us,,,2015,47.82,213,
173,us,,,2015,141.25,214,
