supply_tech_id,gau,demand_sector,resource_bin,vintage,value,id,sensitivity
1,new england,,1,2015,0.0,1,
1,new england,,2,2015,0.0,2,
1,new england,,3,2015,0.0,3,
1,new england,,4,2015,0.0,4,
1,new england,,5,2015,0.0,5,
2,new england,,1,2015,0.0,6,
2,new england,,2,2015,0.0,7,
2,new england,,3,2015,0.0,8,
2,new england,,4,2015,0.0,9,
2,new england,,5,2015,0.0,10,
35,new england,,1,2015,0.0,11,
35,new england,,2,2015,0.0,12,
35,new england,,3,2015,0.0,13,
35,new england,,4,2015,0.0,14,
35,new england,,5,2015,0.0,15,
38,new england,,1,2015,0.0,16,
38,new england,,2,2015,0.0,17,
38,new england,,3,2015,0.0,18,
38,new england,,4,2015,0.0,19,
38,new england,,5,2015,0.0,20,
1,middle atlantic,,1,2015,0.0,21,
1,middle atlantic,,2,2015,0.0,22,
1,middle atlantic,,3,2015,0.0,23,
1,middle atlantic,,4,2015,0.0,24,
1,middle atlantic,,5,2015,0.0,25,
2,middle atlantic,,1,2015,0.0,26,
2,middle atlantic,,2,2015,0.0,27,
2,middle atlantic,,3,2015,0.0,28,
2,middle atlantic,,4,2015,0.0,29,
2,middle atlantic,,5,2015,0.0,30,
35,middle atlantic,,1,2015,0.0,31,
35,middle atlantic,,2,2015,0.0,32,
35,middle atlantic,,3,2015,0.0,33,
35,middle atlantic,,4,2015,0.0,34,
35,middle atlantic,,5,2015,0.0,35,
38,middle atlantic,,1,2015,0.0,36,
38,middle atlantic,,2,2015,0.0,37,
38,middle atlantic,,3,2015,0.0,38,
38,middle atlantic,,4,2015,0.0,39,
38,middle atlantic,,5,2015,0.0,40,
1,east north central,,1,2015,0.0,41,
1,east north central,,2,2015,0.0,42,
1,east north central,,3,2015,0.0,43,
1,east north central,,4,2015,0.0,44,
1,east north central,,5,2015,0.0,45,
2,east north central,,1,2015,0.0,46,
2,east north central,,2,2015,0.0,47,
2,east north central,,3,2015,0.0,48,
2,east north central,,4,2015,0.0,49,
2,east north central,,5,2015,0.0,50,
35,east north central,,1,2015,0.0,51,
35,east north central,,2,2015,0.0,52,
35,east north central,,3,2015,0.0,53,
35,east north central,,4,2015,0.0,54,
35,east north central,,5,2015,0.0,55,
38,east north central,,1,2015,0.0,56,
38,east north central,,2,2015,0.0,57,
38,east north central,,3,2015,0.0,58,
38,east north central,,4,2015,0.0,59,
38,east north central,,5,2015,0.0,60,
1,west north central,,1,2015,0.0,61,
1,west north central,,2,2015,0.0,62,
1,west north central,,3,2015,0.0,63,
1,west north central,,4,2015,0.0,64,
1,west north central,,5,2015,0.0,65,
2,west north central,,1,2015,0.0,66,
2,west north central,,2,2015,0.0,67,
2,west north central,,3,2015,0.0,68,
2,west north central,,4,2015,0.0,69,
2,west north central,,5,2015,0.0,70,
35,west north central,,1,2015,0.0,71,
35,west north central,,2,2015,0.0,72,
35,west north central,,3,2015,0.0,73,
35,west north central,,4,2015,0.0,74,
35,west north central,,5,2015,0.0,75,
38,west north central,,1,2015,0.0,76,
38,west north central,,2,2015,0.0,77,
38,west north central,,3,2015,0.0,78,
38,west north central,,4,2015,0.0,79,
38,west north central,,5,2015,0.0,80,
1,south atlantic,,1,2015,0.0,81,
1,south atlantic,,2,2015,0.0,82,
1,south atlantic,,3,2015,0.0,83,
1,south atlantic,,4,2015,0.0,84,
1,south atlantic,,5,2015,0.0,85,
2,south atlantic,,1,2015,0.0,86,
2,south atlantic,,2,2015,0.0,87,
2,south atlantic,,3,2015,0.0,88,
2,south atlantic,,4,2015,0.0,89,
2,south atlantic,,5,2015,0.0,90,
35,south atlantic,,1,2015,0.0,91,
35,south atlantic,,2,2015,0.0,92,
35,south atlantic,,3,2015,0.0,93,
35,south atlantic,,4,2015,0.0,94,
35,south atlantic,,5,2015,0.0,95,
38,south atlantic,,1,2015,0.0,96,
38,south atlantic,,2,2015,0.0,97,
38,south atlantic,,3,2015,0.0,98,
38,south atlantic,,4,2015,0.0,99,
38,south atlantic,,5,2015,0.0,100,
1,east south central,,1,2015,0.0,101,
1,east south central,,2,2015,0.0,102,
1,east south central,,3,2015,0.0,103,
1,east south central,,4,2015,0.0,104,
1,east south central,,5,2015,0.0,105,
2,east south central,,1,2015,0.0,106,
