supply_tech_id,gau,demand_sector,resource_bin,vintage,value,id,sensitivity
4,us,,,2010,0.0323,1,
4,us,,,2025,0.031,2,
5,us,,,2030,0.0043,3,
10,us,,,2015,21.0,4,
3,us,,,1995,6.5,5,
3,us,,,2014,8.5,6,
25,us,,,1995,0.308,7,
26,us,,,2015,5.76,8,
28,us,,,2014,3.49,9,
29,us,,,1995,0.0956,10,
29,us,,,2014,13.1115,11,
30,us,,,1995,0.5097,12,
31,us,,,2014,6.8885,13,
32,us,,,2017,4.37,14,
37,us,,,2014,5.3442,15,
38,us,,,2014,4.0,16,
39,us,,,2014,8.5,17,
40,us,,,2014,8.575,18,
41,us,,,1995,0.5097,19,
42,us,,,1995,0.0956,20,
43,us,,,1995,0.5097,21,
44,us,,,1995,0.5097,22,
45,us,,,1995,0.5097,23,
46,us,,,2010,0.0,24,
48,us,,,2015,42.97,25,
49,us,,,2015,8.74,26,
50,us,,,2012,8.75,27,
51,us,,,1995,0.5905,28,
52,us,,,1995,0.0765,29,
53,us,,,2014,5.1302,30,
54,us,,,1995,0.1274,31,
55,us,,,1995,0.1835,32,
56,us,,,1995,0.1223,33,
57,us,,,2014,0.9085,34,
58,us,,,2015,13.11,35,
59,us,,,2012,1.225,36,
60,us,,,2014,4.0,37,
61,us,,,2014,9.7025,38,
62,us,,,1995,0.0306,39,
63,us,,,1995,0.0561,40,
64,us,,,1995,0.0956,41,
65,us,,,1995,0.0956,42,
75,us,,,2014,2.1742,43,
79,us,,,2015,1000.0,50,
110,us,,,2015,8.04,51,
159,us,,,2015,46.7804988,52,
158,us,,,2015,141.4769454,53,
157,us,,,2015,44.7366906,54,
156,us,,,2015,29.55,55,
155,us,,,2015,36.3,56,
154,us,,,2015,27.75,57,
153,us,,,2015,61.01,58,
152,us,,,2015,42.77,59,
151,us,,,2015,46.25,60,
115,us,,,2015,12.725,61,
114,us,,,2015,67.44567,62,
113,us,,,2015,4.814,63,
161,us,,,2015,40.59281016,64,
111,us,,,2015,19.86,65,
67,us,,,1995,20.96774194,69,
173,us,,,2015,141.2498556,70,
172,us,,,2015,47.8159605,71,
171,us,,,2015,38.5461936,72,
168,us,,,2015,35.3260215,73,
167,us,,,2015,89.95777488,74,
162,us,,,2015,39.49244145,75,
112,us,,,2015,22.98,76,
169,us,,,2015,44.44655796,77,
170,us,,,2015,80.2864125,78,
67,us,,,2014,27.41935484,79,
68,us,,,2014,8.948717949,80,
69,us,,,1995,0.096565657,81,
69,us,,,2014,13.24393939,82,
70,us,,,1995,0.217820513,83,
71,us,,,1995,0.109885057,84,
72,us,,,1995,1.195,85,
73,us,,,2014,3.988208955,86,
