geography,gau
census division,east north central
census division,east south central
census division,middle atlantic
census division,mountain
census division,new england
census division,pacific
census division,south atlantic
census division,west north central
census division,west south central
census region,midwest
census region,northeast
census region,south
census region,west
county,"abbeville, south carolina"
county,"acadia, louisiana"
county,"accomack, virginia"
county,"ada, idaho"
county,"adair, iowa"
county,"adair, kentucky"
county,"adair, missouri"
county,"adair, oklahoma"
county,"adams, colorado"
county,"adams, idaho"
county,"adams, illinois"
county,"adams, indiana"
county,"adams, iowa"
county,"adams, mississippi"
county,"adams, nebraska"
county,"adams, north dakota"
county,"adams, ohio"
county,"adams, pennsylvania"
county,"adams, washington"
county,"adams, wisconsin"
county,"addison, vermont"
county,"aiken, south carolina"
county,"aitkin, minnesota"
county,"alachua, florida"
county,"alamance, north carolina"
county,"alameda, california"
county,"alamosa, colorado"
county,"albany, new york"
county,"albany, wyoming"
county,"albemarle, virginia"
county,"alcona, michigan"
county,"alcorn, mississippi"
county,"aleutians east, alaska"
county,"aleutians west, alaska"
county,"alexander, illinois"
county,"alexander, north carolina"
county,"alexandria, virginia"
county,"alfalfa, oklahoma"
county,"alger, michigan"
county,"allamakee, iowa"
county,"allegan, michigan"
county,"allegany, maryland"
county,"allegany, new york"
county,"alleghany, north carolina"
county,"alleghany, virginia"
county,"allegheny, pennsylvania"
county,"allen, indiana"
county,"allen, kansas"
county,"allen, kentucky"
county,"allen, louisiana"
county,"allen, ohio"
county,"allendale, south carolina"
county,"alpena, michigan"
county,"alpine, california"
county,"amador, california"
county,"amelia, virginia"
county,"amherst, virginia"
county,"amite, mississippi"
county,"anchorage, alaska"
county,"anderson, kansas"
county,"anderson, kentucky"
county,"anderson, south carolina"
county,"anderson, tennessee"
county,"anderson, texas"
county,"andrew, missouri"
county,"andrews, texas"
county,"androscoggin, maine"
county,"angelina, texas"
county,"anne arundel, maryland"
county,"anoka, minnesota"
county,"anson, north carolina"
county,"antelope, nebraska"
county,"antrim, michigan"
county,"apache, arizona"
county,"appanoose, iowa"
county,"appling, georgia"
county,"appomattox, virginia"
county,"aransas, texas"
county,"arapahoe, colorado"
county,"archer, texas"
county,"archuleta, colorado"
county,"arenac, michigan"
county,"arkansas, arkansas"
county,"arlington, virginia"
county,"armstrong, pennsylvania"
county,"armstrong, texas"
county,"aroostook, maine"
county,"arthur, nebraska"
county,"ascension, louisiana"
county,"ashe, north carolina"
county,"ashland, ohio"
county,"ashland, wisconsin"
county,"ashley, arkansas"
county,"ashtabula, ohio"
county,"asotin, washington"
county,"assumption, louisiana"
county,"atascosa, texas"
county,"atchison, kansas"
county,"atchison, missouri"
county,"athens, ohio"
county,"atkinson, georgia"
county,"atlantic, new jersey"
county,"atoka, oklahoma"
county,"attala, mississippi"
county,"audrain, missouri"
county,"audubon, iowa"
county,"auglaize, ohio"
county,"augusta, virginia"
county,"aurora, south dakota"
county,"austin, texas"
county,"autauga, alabama"
county,"avery, north carolina"
county,"avoyelles, louisiana"
county,"baca, colorado"
county,"bacon, georgia"
county,"bailey, texas"
county,"baker, florida"
county,"baker, georgia"
county,"baker, oregon"
county,"baldwin, alabama"
county,"baldwin, georgia"
county,"ballard, kentucky"
county,"baltimore, maryland"
county,"bamberg, south carolina"
county,"bandera, texas"
county,"banks, georgia"
county,"banner, nebraska"
county,"bannock, idaho"
county,"baraga, michigan"
county,"barber, kansas"
county,"barbour, alabama"
county,"barbour, west virginia"
county,"barnes, north dakota"
county,"barnstable, massachusetts"
county,"barnwell, south carolina"
county,"barren, kentucky"
county,"barron, wisconsin"
county,"barrow, georgia"
county,"barry, michigan"
county,"barry, missouri"
county,"bartholomew, indiana"
county,"barton, kansas"
county,"barton, missouri"
county,"bartow, georgia"
county,"bastrop, texas"
county,"bates, missouri"
county,"bath, kentucky"
county,"bath, virginia"
county,"baxter, arkansas"
county,"bay, florida"
county,"bay, michigan"
county,"bayfield, wisconsin"
county,"baylor, texas"
county,"beadle, south dakota"
county,"bear lake, idaho"
county,"beaufort, north carolina"
county,"beaufort, south carolina"
county,"beauregard, louisiana"
county,"beaver, oklahoma"
county,"beaver, pennsylvania"
county,"beaver, utah"
county,"beaverhead, montana"
county,"becker, minnesota"
county,"beckham, oklahoma"
county,"bedford, pennsylvania"
county,"bedford, tennessee"
county,"bedford, virginia"
county,"bee, texas"
county,"belknap, new hampshire"
county,"bell, kentucky"
county,"bell, texas"
county,"belmont, ohio"
