timepoint,technology,region,power,charging,state_of_charge,goal_state_of_charge_start,goal_state_of_charge_end
1,"(3, 33, 0, 46)",3,0,11376.9,20371.8,20371.8,8994.9
1,"(3, 33, 0, 47)",3,0,0,0,,
1,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
1,"(1, 33, 0, 66)",1,0,0,0,,
1,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
1,"(1, 33, 0, 47)",1,0,0,0,,
1,"(2, 33, 0, 47)",2,0,0,0,,
1,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
1,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
1,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
1,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
1,"(91, 62L, 2L, 64L, 1983L)",2,45485.4,,,,
1,"(91, 62L, 3L, 64L, 1983L)",3,160698,,,,
2,"(3, 33, 0, 46)",3,0,11376.9,30236.8,20371.8,8994.9
2,"(3, 33, 0, 47)",3,0,0,0,,
2,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
2,"(1, 33, 0, 66)",1,0,0,0,,
2,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
2,"(1, 33, 0, 47)",1,0,0,0,,
2,"(2, 33, 0, 47)",2,0,0,0,,
2,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
2,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
2,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
2,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
2,"(91, 62L, 2L, 64L, 1983L)",2,45785.6,,,,
2,"(91, 62L, 3L, 64L, 1983L)",3,160584,,,,
3,"(3, 33, 0, 46)",3,0,11376.9,40101.9,20371.8,8994.9
3,"(3, 33, 0, 47)",3,0,0,0,,
3,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
3,"(1, 33, 0, 66)",1,0,0,0,,
3,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
3,"(1, 33, 0, 47)",1,0,0,0,,
3,"(2, 33, 0, 47)",2,0,0,0,,
3,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
3,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
3,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
3,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
3,"(91, 62L, 2L, 64L, 1983L)",2,39342.6,,,,
3,"(91, 62L, 3L, 64L, 1983L)",3,161972,,,,
4,"(3, 33, 0, 46)",3,0,11376.9,49966.9,20371.8,8994.9
4,"(3, 33, 0, 47)",3,0,0,0,,
4,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
4,"(1, 33, 0, 66)",1,0,0,0,,
4,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
4,"(1, 33, 0, 47)",1,0,0,0,,
4,"(2, 33, 0, 47)",2,0,0,0,,
4,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
4,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
4,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
4,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
4,"(91, 62L, 2L, 64L, 1983L)",2,36842,,,,
4,"(91, 62L, 3L, 64L, 1983L)",3,158898,,,,
5,"(3, 33, 0, 46)",3,0,11376.9,59831.9,20371.8,8994.9
5,"(3, 33, 0, 47)",3,0,0,0,,
5,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
5,"(1, 33, 0, 66)",1,0,0,0,,
5,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
5,"(1, 33, 0, 47)",1,0,0,0,,
5,"(2, 33, 0, 47)",2,0,0,0,,
5,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
5,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
5,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
5,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
5,"(91, 62L, 2L, 64L, 1983L)",2,40579.2,,,,
5,"(91, 62L, 3L, 64L, 1983L)",3,144235,,,,
6,"(3, 33, 0, 46)",3,0,11376.9,69696.9,20371.8,8994.9
6,"(3, 33, 0, 47)",3,0,0,0,,
6,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
6,"(1, 33, 0, 66)",1,0,0,0,,
6,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
6,"(1, 33, 0, 47)",1,0,0,0,,
6,"(2, 33, 0, 47)",2,0,0,0,,
6,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
6,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
6,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
6,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
6,"(91, 62L, 2L, 64L, 1983L)",2,46356.4,,,,
6,"(91, 62L, 3L, 64L, 1983L)",3,138432,,,,
7,"(3, 33, 0, 46)",3,0,11376.9,79562,20371.8,8994.9
7,"(3, 33, 0, 47)",3,0,4068.12,0,,
7,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
7,"(1, 33, 0, 66)",1,0,0,0,,
7,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
7,"(1, 33, 0, 47)",1,0,0,0,,
7,"(2, 33, 0, 47)",2,0,0,0,,
7,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
7,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
7,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
7,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
7,"(91, 62L, 2L, 64L, 1983L)",2,56299.2,,,,
7,"(91, 62L, 3L, 64L, 1983L)",3,145997,,,,
8,"(3, 33, 0, 46)",3,0,11376.9,89427,20371.8,8994.9
8,"(3, 33, 0, 47)",3,0,4663.36,3527.51,,
8,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
8,"(1, 33, 0, 66)",1,0,0,0,,
8,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
8,"(1, 33, 0, 47)",1,0,0,0,,
8,"(2, 33, 0, 47)",2,0,0,0,,
8,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
8,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
8,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
8,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
8,"(91, 62L, 2L, 64L, 1983L)",2,72510.5,,,,
8,"(91, 62L, 3L, 64L, 1983L)",3,155562,,,,
9,"(3, 33, 0, 46)",3,0,11376.9,99292,20371.8,8994.9
9,"(3, 33, 0, 47)",3,0,4663.36,7571.15,,
9,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
9,"(1, 33, 0, 66)",1,0,0,0,,
9,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
9,"(1, 33, 0, 47)",1,0,0,0,,
9,"(2, 33, 0, 47)",2,0,0,0,,
9,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
9,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
9,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
9,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
9,"(91, 62L, 2L, 64L, 1983L)",2,98084.9,,,,
9,"(91, 62L, 3L, 64L, 1983L)",3,177768,,,,
10,"(3, 33, 0, 46)",3,0,11376.9,109157,20371.8,8994.9
10,"(3, 33, 0, 47)",3,0,4663.36,11614.8,,
10,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
10,"(1, 33, 0, 66)",1,0,0,0,,
10,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
10,"(1, 33, 0, 47)",1,0,0,0,,
10,"(2, 33, 0, 47)",2,0,0,0,,
10,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
10,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
10,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
10,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
10,"(91, 62L, 2L, 64L, 1983L)",2,117324,,,,
10,"(91, 62L, 3L, 64L, 1983L)",3,221493,,,,
11,"(3, 33, 0, 46)",3,0,11376.9,119022,20371.8,8994.9
11,"(3, 33, 0, 47)",3,0,3453.99,15658.4,,
11,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
11,"(1, 33, 0, 66)",1,0,0,0,,
11,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
11,"(1, 33, 0, 47)",1,0,0,0,,
11,"(2, 33, 0, 47)",2,0,0,0,,
11,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
11,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
11,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
11,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
11,"(91, 62L, 2L, 64L, 1983L)",2,121660,,,,
11,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
12,"(3, 33, 0, 46)",3,11376.9,0,128887,20371.8,8994.9
12,"(3, 33, 0, 47)",3,4663.36,0,18653.4,,
12,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
12,"(1, 33, 0, 66)",1,0,0,0,,
12,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
12,"(1, 33, 0, 47)",1,0,0,0,,
12,"(2, 33, 0, 47)",2,0,0,0,,
12,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
12,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
12,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
12,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
12,"(91, 62L, 2L, 64L, 1983L)",2,117392,,,,
12,"(91, 62L, 3L, 64L, 1983L)",3,277778,,,,
13,"(3, 33, 0, 46)",3,11376.9,0,115767,20371.8,8994.9
13,"(3, 33, 0, 47)",3,4663.36,0,13275.4,,
13,"(2, 33, 0, 46)",2,0,0,10.8299,10.8299,5.41495
13,"(1, 33, 0, 66)",1,0,0,0,,
13,"(1, 33, 0, 46)",1,0,0,72473.9,72473.9,34801.59999999999
13,"(1, 33, 0, 47)",1,0,0,0,,
13,"(2, 33, 0, 47)",2,0,0,0,,
13,"(13, 56L, 1L, 25L, 1990L)",1,27777.8,,,,
13,"(91, 63L, 3L, 64L, 1982L)",3,27777.8,,,,
13,"(91, 62L, 2L, 64L, 2003L)",2,27777.8,,,,
13,"(13, 61L, 1L, 25L, 2002L)",1,277778,,,,
13,"(91, 62L, 2L, 64L, 1983L)",2,115106,,,,
