timepoint,geography,feeder,distribution_load,flex_load
1,1,0,0.0,0
1,1,1,317338.79497776006,0
1,1,2,225447.52687439774,0
1,1,3,240650.91665637205,0
1,2,0,0.0,0
1,2,1,24178.342510167968,0
1,2,2,21741.519734083482,0
1,2,3,20794.191717315829,0
1,3,0,0.0,0
1,3,1,80891.387811614899,0
1,3,2,72430.624331109706,0
1,3,3,53513.051609410468,0
2,1,0,0.0,0
2,1,1,274942.48271796078,0
2,1,2,226240.3049853777,0
2,1,3,238171.7941992397,0
2,2,0,0.0,0
2,2,1,24178.342510167968,0
2,2,2,21741.519734083482,0
2,2,3,20794.191717315829,0
2,3,0,0.0,0
2,3,1,80858.672670143642,0
2,3,2,72429.932051370532,0
2,3,3,53509.665480558004,0
3,1,0,0.0,0
3,1,1,230090.03325064716,0
3,1,2,226388.05651558845,0
3,1,3,234821.55671753269,0
3,2,0,0.0,0
3,2,1,17829.083905922773,0
3,2,2,21859.749727635077,0
3,2,3,20416.483344294993,0
3,3,0,0.0,0
3,3,1,80828.688606140495,0
3,3,2,72431.30841791979,0
3,3,3,53511.804037668029,0
4,1,0,0.0,0
4,1,1,221827.53035358136,0
4,1,2,226575.29783072675,0
4,1,3,235934.3866145747,0
4,2,0,0.0,0
4,2,1,14085.336261037994,0
4,2,2,21838.501939537815,0
4,2,3,20097.511986734109,0
4,3,0,0.0,0
4,3,1,77294.354842230081,0
4,3,2,72517.447926838358,0
4,3,3,53342.19454037238,0
5,1,0,0.0,0
5,1,1,233678.19494622102,0
5,1,2,228820.20303758763,0
5,1,3,245128.73131388874,0
5,2,0,0.0,0
5,2,1,14613.386944014526,0
5,2,2,21893.01085984509,0
5,2,3,20443.746553575424,0
5,3,0,0.0,0
5,3,1,63342.109679980153,0
5,3,2,72778.659401966361,0
5,3,3,52426.17037020596,0
6,1,0,0.0,0
6,1,1,272214.9856564998,0
6,1,2,234642.39055345664,0
6,1,3,259359.24673297297,0
6,2,0,0.0,0
6,2,1,16339.611556608315,0
6,2,2,22226.085194015985,0
6,2,3,21706.243697350987,0
6,3,0,0.0,0
6,3,1,57258.824691279769,0
6,3,2,72798.149412967847,0
6,3,3,51987.97509024186,0
7,1,0,0.0,0
7,1,1,369396.96977199358,0
7,1,2,244631.99263866644,0
7,1,3,271025.67016962054,0
7,2,0,0.0,0
7,2,1,21334.821959244342,0
7,2,2,22978.680506397424,0
7,2,3,23298.223043584778,0
7,3,0,0.0,0
7,3,1,58292.503906076839,0
7,3,2,73300.219707532378,0
7,3,3,53243.959440577004,0
8,1,0,0.0,0
8,1,1,557957.83587515412,0
8,1,2,257804.20092947053,0
8,1,3,277408.36342222133,0
8,2,0,0.0,0
8,2,1,33401.494943236976,0
8,2,2,24169.323466063757,0
8,2,3,24331.638389799242,0
8,3,0,0.0,0
8,3,1,63037.812870835616,0
8,3,2,74850.891352250706,0
8,3,3,56427.046765383115,0
9,1,0,0.0,0
9,1,1,741301.93931930931,0
9,1,2,271455.87116280635,0
9,1,3,280551.04511006625,0
9,2,0,0.0,0
9,2,1,55783.09241533056,0
9,2,2,25630.008292112609,0
9,2,3,24813.837889378472,0
9,3,0,0.0,0
9,3,1,77998.776396595335,0
9,3,2,77753.666737870284,0
9,3,3,60016.8517252069,0
10,1,0,0.0,0
10,1,1,810547.41532600799,0
10,1,2,282359.55381721584,0
10,1,3,283079.48586471495,0
10,2,0,0.0,0
10,2,1,72568.568049383874,0
10,2,2,27025.248692817378,0
10,2,3,25060.190833272547,0
10,3,0,0.0,0
10,3,1,113030.91963581819,0
10,3,2,81861.326342645363,0
10,3,3,62258.895461778273,0
11,1,0,0.0,0
11,1,1,785611.20372060989,0
11,1,2,288663.52071481873,0
11,1,3,284496.96670410247,0
11,2,0,0.0,0
11,2,1,75674.943061861093,0
11,2,2,28031.894457401097,0
11,2,3,25327.491051310441,0
11,3,0,0.0,0
11,3,1,165117.37975221087,0
11,3,2,86461.542613873287,0
11,3,3,63318.864355475045,0
12,1,0,0.0,0
12,1,1,754360.2615857973,0
12,1,2,290818.99227926071,0
12,1,3,283259.67939218308,0
12,2,0,0.0,0
12,2,1,70986.523781005322,0
12,2,2,28535.019133000093,0
12,2,3,25416.033426262726,0
12,3,0,0.0,0
12,3,1,199408.23398028495,0
12,3,2,90490.277607511351,0
12,3,3,63917.106196857858,0
13,1,0,0.0,0
13,1,1,713241.28501650353,0
13,1,2,285127.11302730412,0
13,1,3,280569.77865562111,0
13,2,0,0.0,0
13,2,1,69053.138244157264,0
13,2,2,28660.85517100622,0
13,2,3,25180.795956021728,0
13,3,0,0.0,0
13,3,1,205270.34279812739,0
13,3,2,93017.389295759887,0
13,3,3,64476.033729651972,0
14,1,0,0.0,0
14,1,1,705549.19711261988,0
14,1,2,207049.08960633923,0
14,1,3,277771.98407129,0
14,2,0,0.0,0
14,2,1,64349.401103822973,0
14,2,2,27798.925351691309,0
14,2,3,24876.154159022884,0
14,3,0,0.0,0
14,3,1,196546.28067694066,0
14,3,2,94128.585622876883,0
14,3,3,64557.309215573376,0
15,1,0,0.0,0
15,1,1,651610.14217570506,0
15,1,2,150482.29582919064,0
15,1,3,275631.16377654474,0
15,2,0,0.0,0
15,2,1,65319.165463676698,0
15,2,2,16632.576832008504,0
15,2,3,24590.367163193714,0
15,3,0,0.0,0
15,3,1,196439.8835374125,0
15,3,2,93637.436578814508,0
15,3,3,63988.76765160849,0
16,1,0,0.0,0
16,1,1,625740.6733759885,0
16,1,2,135053.23067902349,0
16,1,3,276425.35994944553,0
16,2,0,0.0,0
16,2,1,57298.053179050643,0
16,2,2,13138.957240100708,0
16,2,3,24399.056654073847,0
16,3,0,0.0,0
16,3,1,187673.03764106787,0
16,3,2,83770.709080098401,0
16,3,3,63302.665764460689,0
17,1,0,0.0,0
17,1,1,689679.18520649313,0
17,1,2,129357.58978587892,0
17,1,3,291625.72512510326,0
17,2,0,0.0,0
17,2,1,57664.074127551103,0
17,2,2,12410.678879844772,0
17,2,3,24616.485862808247,0
17,3,0,0.0,0
17,3,1,182624.39185506306,0
17,3,2,54349.621533414189,0
17,3,3,62695.791705053634,0
18,1,0,0.0,0
18,1,1,836954.45364380314,0
18,1,2,124284.12468609447,0
18,1,3,312219.41289516684,0
18,2,0,0.0,0
18,2,1,66872.438170004709,0
18,2,2,11897.779509690155,0
18,2,3,26853.895464448236,0
18,3,0,0.0,0
18,3,1,168580.66974237486,0
18,3,2,45457.664358487789,0
18,3,3,62437.658272857967,0
19,1,0,0.0,0
19,1,1,858783.98147428699,0
19,1,2,119019.00390307562,0
19,1,3,318701.4894831063,0
19,2,0,0.0,0
19,2,1,84395.183126577555,0
19,2,2,11355.458094002426,0
19,2,3,28964.460968542349,0
19,3,0,0.0,0
19,3,1,175816.68859845141,0
19,3,2,43473.281403557507,0
19,3,3,63879.106353311057,0
20,1,0,0.0,0
20,1,1,824916.91958744184,0
20,1,2,113485.29941813325,0
20,1,3,312543.74342439196,0
20,2,0,0.0,0
20,2,1,80516.228502225669,0
20,2,2,10791.116525983243,0
20,2,3,28962.645822535444,0
20,3,0,0.0,0
20,3,1,210763.25895660641,0
20,3,2,42041.428643801002,0
20,3,3,69187.914697924178,0
21,1,0,0.0,0
21,1,1,757607.67014567461,0
21,1,2,107426.62842007831,0
21,1,3,300005.87127775489,0
21,2,0,0.0,0
21,2,1,76768.348434457745,0
21,2,2,10178.327290082274,0
21,2,3,28012.77069276564,0
21,3,0,0.0,0
21,3,1,264049.09557433589,0
21,3,2,40497.747537939053,0
21,3,3,73262.762826967679,0
22,1,0,0.0,0
22,1,1,668237.07565891522,0
22,1,2,100752.094478005,0
22,1,3,282689.54136298498,0
22,2,0,0.0,0
22,2,1,67526.951920589898,0
22,2,2,9483.3212313911899,0
22,2,3,26534.1532739994,0
22,3,0,0.0,0
22,3,1,249829.22248829194,0
22,3,2,38769.994630162902,0
22,3,3,72790.208021390237,0
23,1,0,0.0,0
23,1,1,549952.68047402299,0
23,1,2,93840.181758156643,0
23,1,3,265753.54755128775,0
23,2,0,0.0,0
23,2,1,57845.879945597299,0
23,2,2,8716.9825622926328,0
23,2,3,24575.231676971718,0
23,3,0,0.0,0
23,3,1,219598.4210142731,0
23,3,2,36945.440617290958,0
23,3,3,70246.448238586716,0
24,1,0,0.0,0
24,1,1,428143.58569292317,0
24,1,2,178641.34784020725,0
24,1,3,251074.74260632787,0
24,2,0,0.0,0
24,2,1,43735.692557118251,0
24,2,2,7955.3514080940386,0
