electricity interconnection,year,timeshift_type,weather_datetime,2015
1,2015,2,2011-01-01 00:00:00-05:00,266516.3371
1,2015,2,2011-01-01 01:00:00-05:00,264660.7175
1,2015,2,2011-01-01 02:00:00-05:00,263644.9664
1,2015,2,2011-01-01 03:00:00-05:00,272311.9152
1,2015,2,2011-01-01 04:00:00-05:00,299988.2374
1,2015,2,2011-01-01 05:00:00-05:00,343124.2991
1,2015,2,2011-01-01 06:00:00-05:00,400741.2695
1,2015,2,2011-01-01 07:00:00-05:00,480516.2081
1,2015,2,2011-01-01 08:00:00-05:00,520762.8747
1,2015,2,2011-01-01 09:00:00-05:00,527784.463
1,2015,2,2011-01-01 10:00:00-05:00,502613.2351
1,2015,2,2011-01-01 11:00:00-05:00,473299.8376
1,2015,2,2011-01-01 12:00:00-05:00,445326.444
1,2015,2,2011-01-01 13:00:00-05:00,422973.2336
1,2015,2,2011-01-01 14:00:00-05:00,399223.6054
1,2015,2,2011-01-01 15:00:00-05:00,387119.8655
1,2015,2,2011-01-01 16:00:00-05:00,400972.3916
1,2015,2,2011-01-01 17:00:00-05:00,427201.6361
1,2015,2,2011-01-01 18:00:00-05:00,434322.0716
1,2015,2,2011-01-01 19:00:00-05:00,430861.7231
1,2015,2,2011-01-01 20:00:00-05:00,413731.7651
1,2015,2,2011-01-01 21:00:00-05:00,386559.9095
1,2015,2,2011-01-01 22:00:00-05:00,340332.6225
1,2015,2,2011-01-01 23:00:00-05:00,304911.1609
1,2015,2,2011-01-02 00:00:00-05:00,282282.3908
1,2015,2,2011-01-02 01:00:00-05:00,273492.0904
1,2015,2,2011-01-02 02:00:00-05:00,272414.6874
1,2015,2,2011-01-02 03:00:00-05:00,280645.5242
1,2015,2,2011-01-02 04:00:00-05:00,307347.9464
1,2015,2,2011-01-02 05:00:00-05:00,349503.5597
1,2015,2,2011-01-02 06:00:00-05:00,406368.698
1,2015,2,2011-01-02 07:00:00-05:00,486997.3605
1,2015,2,2011-01-02 08:00:00-05:00,527330.4232
1,2015,2,2011-01-02 09:00:00-05:00,533691.5043
1,2015,2,2011-01-02 10:00:00-05:00,507405.3156
1,2015,2,2011-01-02 11:00:00-05:00,476801.3486
1,2015,2,2011-01-02 12:00:00-05:00,447668.0038
1,2015,2,2011-01-02 13:00:00-05:00,424517.7306
1,2015,2,2011-01-02 14:00:00-05:00,399808.24
1,2015,2,2011-01-02 15:00:00-05:00,387303.2737
1,2015,2,2011-01-02 16:00:00-05:00,401548.5629
1,2015,2,2011-01-02 17:00:00-05:00,429519.8206
1,2015,2,2011-01-02 18:00:00-05:00,438948.1879
1,2015,2,2011-01-02 19:00:00-05:00,434538.5189
1,2015,2,2011-01-02 20:00:00-05:00,418431.4325
1,2015,2,2011-01-02 21:00:00-05:00,392013.5267
1,2015,2,2011-01-02 22:00:00-05:00,346494.5955
1,2015,2,2011-01-02 23:00:00-05:00,311569.8282
1,2015,2,2011-01-03 00:00:00-05:00,283281.1242
1,2015,2,2011-01-03 01:00:00-05:00,278716.6449
1,2015,2,2011-01-03 02:00:00-05:00,281939.1058
1,2015,2,2011-01-03 03:00:00-05:00,290048.0026
1,2015,2,2011-01-03 04:00:00-05:00,334234.2733
1,2015,2,2011-01-03 05:00:00-05:00,405787.4278
1,2015,2,2011-01-03 06:00:00-05:00,493459.4521
1,2015,2,2011-01-03 07:00:00-05:00,553288.8316
1,2015,2,2011-01-03 08:00:00-05:00,533966.165
1,2015,2,2011-01-03 09:00:00-05:00,489953.2
1,2015,2,2011-01-03 10:00:00-05:00,463764.8841
1,2015,2,2011-01-03 11:00:00-05:00,450824.1255
1,2015,2,2011-01-03 12:00:00-05:00,436316.8841
1,2015,2,2011-01-03 13:00:00-05:00,420431.8188
1,2015,2,2011-01-03 14:00:00-05:00,405215.9179
1,2015,2,2011-01-03 15:00:00-05:00,398806.2077
1,2015,2,2011-01-03 16:00:00-05:00,410612.1804
1,2015,2,2011-01-03 17:00:00-05:00,448388.9896
1,2015,2,2011-01-03 18:00:00-05:00,467629.1786
1,2015,2,2011-01-03 19:00:00-05:00,454017.5942
1,2015,2,2011-01-03 20:00:00-05:00,428059.4253
1,2015,2,2011-01-03 21:00:00-05:00,396239.6314
1,2015,2,2011-01-03 22:00:00-05:00,350311.3551
1,2015,2,2011-01-03 23:00:00-05:00,311594.7679
1,2015,2,2011-01-04 00:00:00-05:00,290232.2376
1,2015,2,2011-01-04 01:00:00-05:00,289560.4935
1,2015,2,2011-01-04 02:00:00-05:00,292637.4808
1,2015,2,2011-01-04 03:00:00-05:00,300204.8174
1,2015,2,2011-01-04 04:00:00-05:00,343153.5091
1,2015,2,2011-01-04 05:00:00-05:00,413060.2327
1,2015,2,2011-01-04 06:00:00-05:00,498751.7111
1,2015,2,2011-01-04 07:00:00-05:00,556722.8285
1,2015,2,2011-01-04 08:00:00-05:00,536839.0875
1,2015,2,2011-01-04 09:00:00-05:00,493457.986
1,2015,2,2011-01-04 10:00:00-05:00,466323.1879
1,2015,2,2011-01-04 11:00:00-05:00,452817.0458
1,2015,2,2011-01-04 12:00:00-05:00,437632.0055
1,2015,2,2011-01-04 13:00:00-05:00,421543.8992
1,2015,2,2011-01-04 14:00:00-05:00,405428.0615
1,2015,2,2011-01-04 15:00:00-05:00,398265.2529
1,2015,2,2011-01-04 16:00:00-05:00,409747.5412
1,2015,2,2011-01-04 17:00:00-05:00,448006.3464
1,2015,2,2011-01-04 18:00:00-05:00,468098.0573
1,2015,2,2011-01-04 19:00:00-05:00,455709.578
1,2015,2,2011-01-04 20:00:00-05:00,430068.9066
1,2015,2,2011-01-04 21:00:00-05:00,398365.3498
1,2015,2,2011-01-04 22:00:00-05:00,351862.5983
1,2015,2,2011-01-04 23:00:00-05:00,312506.552
1,2015,2,2011-01-05 00:00:00-05:00,290974.9601
1,2015,2,2011-01-05 01:00:00-05:00,289929.7595
1,2015,2,2011-01-05 02:00:00-05:00,292315.7921
1,2015,2,2011-01-05 03:00:00-05:00,299536.6401
1,2015,2,2011-01-05 04:00:00-05:00,342310.9615
1,2015,2,2011-01-05 05:00:00-05:00,412648.2912
1,2015,2,2011-01-05 06:00:00-05:00,498425.5792
1,2015,2,2011-01-05 07:00:00-05:00,556377.2292
1,2015,2,2011-01-05 08:00:00-05:00,536696.6625
1,2015,2,2011-01-05 09:00:00-05:00,493120.3817
1,2015,2,2011-01-05 10:00:00-05:00,466956.3391
1,2015,2,2011-01-05 11:00:00-05:00,453754.0454
1,2015,2,2011-01-05 12:00:00-05:00,438784.7581
1,2015,2,2011-01-05 13:00:00-05:00,422033.4207
1,2015,2,2011-01-05 14:00:00-05:00,405192.2062
1,2015,2,2011-01-05 15:00:00-05:00,397145.0253
1,2015,2,2011-01-05 16:00:00-05:00,407737.1659
1,2015,2,2011-01-05 17:00:00-05:00,444240.589
1,2015,2,2011-01-05 18:00:00-05:00,461435.6459
1,2015,2,2011-01-05 19:00:00-05:00,447468.7085
1,2015,2,2011-01-05 20:00:00-05:00,421157.2654
1,2015,2,2011-01-05 21:00:00-05:00,389179.9421
1,2015,2,2011-01-05 22:00:00-05:00,343674.6458
1,2015,2,2011-01-05 23:00:00-05:00,304675.3163
1,2015,2,2011-01-06 00:00:00-05:00,281775.8374
1,2015,2,2011-01-06 01:00:00-05:00,280348.0252
1,2015,2,2011-01-06 02:00:00-05:00,283182.0038
1,2015,2,2011-01-06 03:00:00-05:00,290458.0228
1,2015,2,2011-01-06 04:00:00-05:00,333035.7732
1,2015,2,2011-01-06 05:00:00-05:00,403429.1822
1,2015,2,2011-01-06 06:00:00-05:00,490477.1515
