,Households
2000,113747344.9
2001,114941774.2
2002,116138320.9
2003,117336985.1
2004,118537766.6
2005,119740665.5
2006,120945681.8
2007,122152815.6
2008,123362066.8
2009,124573435.3
2010,125786921.3
2011,127002524.7
2012,128220245.5
2013,129440083.7
2014,130662039.3
2015,131886112.3
2016,133112302.7
2017,134340610.5
2018,135571035.8
2019,136803578.4
2020,138038238.5
2021,139275016
2022,140513910.8
2023,141754923.1
2024,142998052.8
2025,144243299.9
2026,145490664.4
2027,146740146.3
2028,147991745.6
2029,149245462.4
2030,150501296.5
2031,151759248.1
2032,153019317
2033,154281503.4
2034,155545807.2
2035,156812228.3
2036,158080766.9
2037,159351422.9
2038,160624196.3
2039,161899087.2
2040,163176095.4
2041,164455221
2042,165736464.1
2043,167019824.5
2044,168305302.4
2045,169592897.6
2046,170882610.3
2047,172174440.4
2048,173468387.9
2049,174764452.8
2050,176062635.1
