,Projected Clothes Dryers
2000,68248406.96
2001,70300629.98
2002,72381929.98
2003,74492380.77
2004,76632056.17
2005,78801029.98
2006,80999376.02
2007,83227168.08
2008,85484479.99
2009,87771385.54
2010,90087958.56
2011,91182220.14
2012,92282287.02
2013,93388170.4
2014,94499881.47
2015,95617431.41
2016,96740831.4
2017,97870092.64
2018,99005226.3
2019,100146243.6
2020,101293155.7
2021,102445973.7
2022,103604709
2023,104769372.6
2024,105939975.7
2025,107116529.6
2026,108299045.4
2027,109487534.4
2028,110682007.6
2029,111882476.2
2030,113088951.6
2031,114301444.8
2032,115519967
2033,116744529.5
2034,117975143.4
2035,119211819.8
2036,120454570.1
2037,121703405.3
2038,122958336.7
2039,124219375.4
2040,125486532.7
2041,126759819.6
2042,128039247.5
2043,129324827.4
2044,130616570.6
2045,131914488.3
2046,133218591.7
2047,134528891.8
2048,135845400
2049,137168127.4
2050,138497085.2
